,K,Selected Features,Feature Variant,Best C,Validation Accuracy,Validation Macro F1
0,500,500,tfidf_chi2_k500,0.25,0.8166666666666667,0.5396825396825397
1,1000,1000,tfidf_chi2_k1000,1.0,0.8083333333333333,0.5328669516776784
