,Model,Best C,Test Accuracy,Test Macro F1
0,Majority Class,,0.5791666666666667,0.24450307827616535
1,TFIDF + SVM,1.0,0.9083333333333333,0.6081675028130576
2,Proposed MNIR + SVM,0.25,0.8583333333333333,0.5724555714752533
