Date,PCR,IV_C,STD_C,IV_P,STD_P
2020-05-05,1.196951538,0.100625252,0.070307602,0.169965836,0.260801257
2020-05-06,1.189991737,0.079220225,0.070226979,0.119606318,0.317214835
2020-05-07,1.103055286,0.153872926,0.04349071,0.237956488,0.347565399
2020-05-08,1.083154697,0.151657565,0.046303559,0.207820616,0.442720475
2020-05-11,1.328059225,0.128437375,0.058923741,0.228175887,0.568354876
2020-05-12,0.821314488,0.137458765,0.068064449,0.167157503,0.565173989
2020-05-13,2.528502141,0.100945624,0.086473507,0.159275078,0.365938076
2020-05-14,0.98728349,0.257568998,0.075538747,0.293961326,0.704603086
2020-05-15,0.995076396,0.194474592,0.080532605,0.362084816,0.642145857
2020-05-18,1.041142757,0.346240224,0.127728273,0.423406206,1.147821906
2020-05-19,0.875697854,0.367801929,0.208378679,0.553733103,1.982963655
2020-05-20,,,,,
2020-05-21,1.109735839,0.081472922,0.043999183,0.166229006,0.282906767
2020-05-22,0.80501817,0.111938879,0.044768538,0.152334743,0.473298886
2020-05-25,1.311546667,0.065086664,0.049098917,0.154488188,0.305372608
2020-05-26,1.206764148,0.072250804,0.054361536,0.117933234,0.299897337
2020-05-27,1.323301383,0.052236284,0.052537889,0.074386443,0.233641604
2020-05-28,0.944452655,0.129283902,0.041767951,0.149438025,0.350823998
2020-05-29,1.055677459,0.096188827,0.040388258,0.160755867,0.267685529
2020-06-01,1.344420548,0.084267439,0.052977846,0.163791582,0.319936385
2020-06-02,1.2840499,0.070541851,0.052453938,0.128058885,0.344874109
2020-06-03,4.219871024,0.114103822,0.057155329,0.128631574,0.293650411
2020-06-04,0.963694991,0.14309296,0.043014227,0.19647478,0.35786579
2020-06-05,1.270432072,0.099642816,0.039065666,0.201723381,0.426354371
2020-06-08,1.101396714,0.111881734,0.048227202,0.196024893,0.442377927
2020-06-09,1.267432029,0.08789305,0.054486865,0.167055744,0.490910525
2020-06-10,2.350984536,0.098692418,0.07866043,0.155050871,0.480270113
2020-06-11,0.922348357,0.25241953,0.076130872,0.264619653,0.726017656
2020-06-12,1.167356741,0.206679436,0.059769385,0.381957527,0.569648512
2020-06-15,0.860063263,0.382380724,0.127603548,0.413225317,1.087460216
2020-06-16,1.739731894,0.271105371,0.19609597,0.677405806,1.343560305
2020-06-17,,,,,
2020-06-18,1.107330634,0.079389986,0.026781795,0.164293743,0.380303291
2020-06-19,0.989646367,0.081677273,0.026638721,0.131740115,0.344835949
2020-06-22,1.214018983,0.065744951,0.028289682,0.117197141,0.276277322
2020-06-23,1.261378736,0.049405973,0.03017316,0.103560527,0.246788982
2020-06-24,1.285287337,0.04204176,0.033860935,0.073531481,0.205793028
2020-06-29,1.093025495,0.09059323,0.04038701,0.173918611,0.306036476
2020-06-30,1.812678457,0.045733974,0.039368318,0.147191097,0.330324182
2020-07-01,2.015534492,0.048264674,0.043298228,0.1225713,0.352941973
2020-07-02,1.74226113,0.065929291,0.0348085,0.21318407,0.383011159
2020-07-03,1.150768609,0.081896119,0.034303502,0.18954756,0.36936549
2020-07-06,1.746553055,0.093615294,0.064861322,0.232171983,0.618066492
2020-07-07,0.915813228,0.129569499,0.06297942,0.146610661,0.519533268
2020-07-08,2.284836517,0.087474451,0.083581942,0.147671684,0.453849682
2020-07-09,0.959574459,0.173450243,0.051617604,0.274485563,0.569009231
2020-07-10,0.94857721,0.20781262,0.074790328,0.253098181,0.628361933
2020-07-13,1.646680556,0.168678073,0.124519282,0.462396457,1.166959321
2020-07-14,1.219371003,0.270930307,0.187387624,0.449490536,1.510068285
2020-07-15,,,,,
2020-07-16,0.910823077,0.087865759,0.034679984,0.136888987,0.352026882
2020-07-17,1.093413261,0.070757726,0.030023759,0.112081197,0.271273044
2020-07-20,1.201754253,0.053164385,0.034005825,0.104677911,0.228287434
2020-07-21,1.787702715,0.054720019,0.041033253,0.100232788,0.22414729
2020-07-22,1.643054043,0.042598619,0.043188163,0.067617422,0.200205051
2020-07-23,1.020272379,0.078794926,0.029820743,0.144603174,0.24689323
2020-07-24,0.919261749,0.101601626,0.035179981,0.129587743,0.32833735
2020-07-27,1.386132358,0.083530692,0.041383309,0.161085986,0.268458664
2020-07-28,0.69273456,0.141111405,0.070831553,0.118287305,0.27318442
2020-07-29,0.909474567,0.063943514,0.051873047,0.089801503,0.226145466
2020-07-30,0.946057586,0.102822844,0.039024404,0.203831414,0.247551032
2020-07-31,1.134788688,0.11885522,0.03455533,0.17480357,0.239109459
2020-08-03,0.861510296,0.138738216,0.047093528,0.145144426,0.475502545
2020-08-04,1.981469753,0.063285563,0.053140801,0.163423315,0.302329351
2020-08-05,1.759344475,0.061192117,0.058861209,0.109871749,0.376659935
2020-08-06,1.038424017,0.125849759,0.036537593,0.201717741,0.33027781
2020-08-07,1.006508515,0.140794575,0.039447466,0.175978951,0.449972421
2020-08-10,1.184653539,0.109965718,0.046886368,0.18875,0.457885418
2020-08-11,0.792532588,0.143424153,0.05414728,0.133060273,0.480264838
2020-08-12,0.771889849,0.109544996,0.079319966,0.142725364,0.498918234
2020-08-13,0.944399623,0.184513202,0.060893806,0.243173713,0.370875491
