JID,VERDICT,own_verdict,JTYPE
"SCDM,98,審竹簡,1315,20091130,1",Win,Other,CRIMINAL
"PTDM,94,簡,1399,20051031,1",Win,Other,CRIMINAL
"TPBA,95,訴,850,20070315,1",Win,Mixed,ADMINISTRATIVE
"IPCV,107,民營訴,7,20230207,5",Win,Mixed,CIVIL
"TCDM,102,中智簡,17,20130401,1",Win,Other,CRIMINAL
"KSDM,96,訴,2486,20070731,1",Win,Other,CRIMINAL
"HLDM,90,易,610,20020425,1",Win,Other,CRIMINAL
"TCDM,102,中智簡,39,20130723,1",Win,Other,CRIMINAL
"IPCM,107,刑智上訴,20,20181011,1",Win,Other,CRIMINAL
"KLDM,97,基簡,857,20080725,1",Win,Other,CRIMINAL
"CYDM,94,朴簡,206,20051209,1",Win,Other,CRIMINAL
"CHDM,101,智簡,13,20120229,1",Win,Other,CRIMINAL
"TYDM,97,桃簡,781,20080403,1",Win,Other,CRIMINAL
"IPCV,97,民商上易,1,20090122,1",Win,Other,CIVIL
"MLDM,96,苗簡,414,20070522,1",Win,Other,CRIMINAL
"KSDM,110,智簡,13,20210510,1",Win,Other,CRIMINAL
"NTDM,102,投智簡,3,20140225,1",Win,Other,CRIMINAL
"TYDM,105,智訴,9,20170720,1",Win,Other,CRIMINAL
"FYEM,113,豐智簡,5,20240618,1",Win,Other,CRIMINAL
"KSDM,90,訴,2293,20011129,1",Win,Other,CRIMINAL
"TPDM,103,智簡,89,20141226,1",Win,Other,CRIMINAL
"IPCM,109,刑智上易,39,20201029,1",Win,Other,CRIMINAL
"IPCV,107,民專上更(一),4,20200514,2",Lose,Remand,CIVIL
"SCDM,93,竹簡,315,20040609,1",Win,Other,CRIMINAL
"TPDM,89,重附民,45,20001003",Win,Mixed,CWC
"TNDM,111,智簡,10,20220630,1",Win,Other,CRIMINAL
"TNDM,100,智簡,64,20111219,1",Win,Other,CRIMINAL
"TYDM,95,桃簡,2346,20061122,1",Win,Other,CRIMINAL
"PCDM,88,訴,1950,20000320",Win,Other,CRIMINAL
"IPCM,107,刑智上更(一),1,20181019,1",Win,Other,CRIMINAL
"TCDM,111,中智簡,70,20221115,1",Win,Other,CRIMINAL
"TCDM,102,智簡,3,20130128,1",Win,Other,CRIMINAL
"TYDM,101,壢智簡,6,20120629,1",Win,Other,CRIMINAL
"SLEM,105,士簡,329,20160613,1",Win,Other,CRIMINAL
"KSDM,90,易,4795,20020206,1",Win,Other,CRIMINAL
"PCDM,101,智簡,17,20120229,1",Win,Other,CRIMINAL
"TCDM,100,智簡,34,20120102,1",Win,Other,CRIMINAL
"TCDM,97,易,4007,20081114,1",Win,Other,CRIMINAL
"TPDM,103,智易,12,20140409,1",Win,Other,CRIMINAL
"CYDM,101,智簡,11,20120419,1",Win,Other,CRIMINAL
"IPCV,98,民商上,5,20100325,3",Win,Mixed,CIVIL
"KSDM,102,智簡,37,20130326,1",Win,Other,CRIMINAL
"CHDM,104,智簡,35,20150821,1",Win,Other,CRIMINAL
"TYDM,97,桃簡,813,20080408,1",Win,Other,CRIMINAL
"TPDM,92,簡,1979,20030606,1",Win,Other,CRIMINAL
"PCDM,106,智簡,34,20170603,1",Win,Other,CRIMINAL
"IPCA,105,行專訴,62,20161229,2",Win,Mixed,ADMINISTRATIVE
"KSDM,103,智簡,110,20140709,1",Win,Other,CRIMINAL
"TYDM,101,壢智簡,18,20120731,1",Win,Other,CRIMINAL
"CHDM,98,簡,2149,20091030,1",Win,Other,CRIMINAL
"TYDM,95,易,147,20060516,1",Lose,Other,CRIMINAL
"IPCA,103,行商訴,108,20141127,2",Win,Other,ADMINISTRATIVE
"SCDM,99,審智簡,9,20101103,1",Win,Other,CRIMINAL
"IPCV,108,民營訴,5,20230419,3",Win,Mixed,CIVIL
"CHDM,97,簡上,2,20080131,1",Lose,Other,CRIMINAL
"PTDM,89,易,763,20010607,1",Win,Other,CRIMINAL
"TPDM,94,簡,1416,20050729,1",Win,Other,CRIMINAL
"TPDM,106,智簡上,1,20170608,1",Win,Other,CRIMINAL
"TCDV,96,智,7,20071220,1",Mixed,Win,CIVIL
"PCDM,100,智訴,25,20121227,3",Win,Other,CRIMINAL
"KLDM,95,基簡,273,20060424,1",Win,Other,CRIMINAL
"TPBA,96,訴,339,20071213,2",Win,Mixed,ADMINISTRATIVE
"TPSV,100,台上,1091,20110714",Lose,Remand,CIVIL
"TYDM,100,桃智簡,39,20110727,1",Win,Other,CRIMINAL
"IPCM,101,重附民上,12,20121213,1",Lose,Mixed,CWC
"KSDM,112,智簡,46,20231205,1",Win,Other,CRIMINAL
"KSDM,100,智簡,79,20110623,1",Win,Other,CRIMINAL
"KSDM,100,智簡,309,20120110,1",Win,Other,CRIMINAL
"TCDM,108,智易,59,20191002,1",Lose,Other,CRIMINAL
"CYDM,93,訴,268,20041130,4",Win,Other,CRIMINAL
"KSDM,106,智簡,80,20171225,1",Win,Other,CRIMINAL
"TCDM,92,易,2112,20030915,1",Win,Other,CRIMINAL
"IPCM,101,刑智上訴,76,20130206,1",Win,Other,CRIMINAL
"KLDM,92,基簡,792,20031003,1",Win,Other,CRIMINAL
"IPCV,104,民著訴,47,20160325,1",Win,Mixed,CIVIL
"IPCV,109,民專訴,60,20210824,2",Win,Mixed,CIVIL
"TCDM,100,中智簡,35,20110531,1",Win,Other,CRIMINAL
"KSDM,102,智簡,235,20131204,1",Win,Other,CRIMINAL
