,Model,Best C,Test Accuracy,Test Macro F1,mnir_no_chi2_lowfreq_filter_applied,mnir_no_chi2_feature_limit,mnir_no_chi2_min_train_df,mnir_no_chi2_original_features,mnir_no_chi2_selected_features,mnir_no_chi2_removed_features,mnir_no_chi2_zero_train_features,mnir_no_chi2_filter_reason
0,Majority Class,,0.676081200353045,0.2689134632262594,,,,,,,,
1,TF + SVM,0.5,0.6619593998234775,0.46792516045272275,,,,,,,,
2,TF + SVM (No Chi-square),0.5,0.6531332744924978,0.45235954800976663,,,,,,,,
3,Proposed MNIR + SVM (No Chi-square),2.0,0.6734333627537511,0.38393790849673204,True,,1.0,24425.0,23461.0,964.0,964.0,train_df_gte_1
4,Proposed MNIR + SVM,0.5,0.6513680494263019,0.38986904009549894,,,,,,,,
