,K,Selected Features,Feature Variant,Best C,Validation Accuracy,Validation Macro F1
0,5000,5000,tf_chi2_k5000,0.5,0.6696113074204947,0.40654652552999154
1,1000,1000,tf_chi2_k1000,0.0625,0.6625441696113075,0.4057578733154022
2,10000,10000,tf_chi2_k10000,2.0,0.6678445229681979,0.39724363042886934
3,3000,3000,tf_chi2_k3000,4.0,0.6501766784452296,0.39547902252820283
