,Model,Best C,Test Accuracy,Test Macro F1,mnir_no_chi2_lowfreq_filter_applied,mnir_no_chi2_feature_limit,mnir_no_chi2_min_train_df,mnir_no_chi2_original_features,mnir_no_chi2_selected_features,mnir_no_chi2_removed_features,mnir_no_chi2_zero_train_features,mnir_no_chi2_filter_reason
0,Majority Class,,0.9343791850009566,0.3220255167639205,,,,,,,,
1,BOW + SVM,1.0,0.9540845609336139,0.6231113292058263,,,,,,,,
2,BOW + SVM (No Chi-square),0.0625,0.9479625023914291,0.6007254899893445,,,,,,,,
3,Proposed MNIR + SVM (No Chi-square),0.125,0.9169695810216185,0.4513092065135746,True,,1.0,38159.0,36837.0,1322.0,1322.0,train_df_gte_1
4,Proposed MNIR + SVM,1.0,0.917352209680505,0.46298998974398814,,,,,,,,
