,Model,Best C,Test Accuracy,Test Macro F1
0,Majority Class,,0.5791666666666667,0.24450307827616535
1,BOW + SVM,0.25,0.8791666666666667,0.5893224814088124
2,Proposed MNIR + SVM,0.25,0.85,0.566060606060606
