,Model,Best C,Test Accuracy,Test Macro F1
0,Majority Class,,0.676081200353045,0.2689134632262594
1,TFIDF + SVM,4.0,0.6796116504854369,0.4277972992985715
2,Proposed MNIR + SVM,0.125,0.6954986760812003,0.3525234025234025
3,TFIDF + SVM (No Chi-square),2.0,0.6840247131509267,0.4289142892626499
4,Proposed MNIR + SVM (No Chi-square),0.125,0.6699029126213593,0.2965761228038616
