,K,Selected Features,Feature Variant,Best C,Validation Accuracy,Validation Macro F1
0,3000,3000,tfidf_chi2_k3000,0.125,0.8373121131741822,0.36674825140147665
1,5000,5000,tfidf_chi2_k5000,0.25,0.8647214854111406,0.3568152068901694
2,1000,1000,tfidf_chi2_k1000,0.125,0.8320070733863837,0.3475435357155787
3,10000,10000,tfidf_chi2_k10000,0.0625,0.8629531388152077,0.3267598869693111
