,K,Selected Features,Feature Variant,Best C,Validation Accuracy,Validation Macro F1
0,10000,10000,tfidf_chi2_k10000,1.0,0.847922192749779,0.4257848730774112
1,3000,3000,tfidf_chi2_k3000,1.0,0.8505747126436781,0.40953803883529366
2,5000,5000,tfidf_chi2_k5000,0.5,0.8488063660477454,0.40025651876172286
3,1000,1000,tfidf_chi2_k1000,4.0,0.8320070733863837,0.3956232783314573
