,Model,Best C,Test Accuracy,Test Macro F1,mnir_no_chi2_lowfreq_filter_applied,mnir_no_chi2_feature_limit,mnir_no_chi2_min_train_df,mnir_no_chi2_original_features,mnir_no_chi2_selected_features,mnir_no_chi2_removed_features,mnir_no_chi2_zero_train_features,mnir_no_chi2_filter_reason
0,Majority Class,,0.8762704374723818,0.3113518605746585,,,,,,,,
1,TFIDF + SVM,1.0,0.8338488731771984,0.4116512669027957,,,,,,,,
2,TFIDF + SVM (No Chi-square),2.0,0.8285461776403005,0.40939852291082385,,,,,,,,
3,Proposed MNIR + SVM (No Chi-square),0.5,0.8616880247459126,0.3317320818180825,True,,1.0,21428.0,20658.0,770.0,770.0,train_df_gte_1
4,Proposed MNIR + SVM,0.125,0.8440123729562528,0.36877058909687843,,,,,,,,
