,Model,Best C,Test Accuracy,Test Macro F1
0,Majority Class,,0.675,0.26865671641791045
1,TFIDF + SVM,1.0,0.675,0.3360190599956681
2,Proposed MNIR + SVM,0.25,0.6541666666666667,0.34277320799059935
