Date,count,mean,std,min,25%,50%,75%,max
2020/12/31,47,0.032035313511124854,0.045201799448695734,0.00010000000454738256,0.00010000000454738256,0.00010000000454738256,0.08879995547987846,0.10759377858204161
2021/1/1,17,0.006900798312394518,0.008960730326660279,0.00010000000454738256,0.00010000000454738256,0.005108056527430835,0.007410819751326654,0.02587709556074924
2021/1/4,1856,0.036117896647759856,0.04175220808487161,0.00010000000454738256,0.00010000000454738256,0.02745403436089873,0.043461088033197585,0.19511649891123262
2021/1/5,2059,0.03934719296809604,0.04068948906989536,0.00010000000454738256,0.015455469011330478,0.03268669352517164,0.04330718201599109,0.21273890262394807
2021/1/6,4926,0.04933640169133923,0.049508172288782556,0.00010000000454738256,0.01473274044108321,0.0392669442411162,0.059797601877447495,0.42961244405918664
2021/1/7,1893,0.1491166516055393,0.042775614840854854,0.00010000000454738256,0.11794261085881869,0.14402274160595013,0.16293924889687902,0.522498855139664
2021/1/8,1731,0.1952897445860572,0.04440556058248963,0.00010000000454738256,0.16730436559678777,0.18015214140189229,0.22027778399230277,0.5328952517374609
2021/1/9,28,0.17367131774200129,0.03078082519745226,0.14543196990420498,0.1503610126015516,0.16099868068304757,0.1825337843922134,0.2395399636697989
2021/1/11,1471,0.19162329650312482,0.05792464336371471,0.00010000000454738256,0.15039785092720204,0.1717040096084248,0.2231490248138932,0.594821564801073
2021/1/12,2110,0.15532777046162308,0.04183966443975952,0.00010000000454738256,0.12384613662746242,0.1469221811469611,0.17521076624169737,0.4670796551374028
2021/1/13,3543,0.17820393373877838,0.0695273161729737,0.07316073300274648,0.12552223795722506,0.16558626526924536,0.2185167682147839,0.6553605658130967
2021/1/14,995,0.25454644281813565,0.06152000214312037,0.00010000000454738256,0.21855793336811852,0.23997028003490264,0.275628369394033,0.8401527838325236
2021/1/15,1986,0.2371284144568223,0.060717602793602186,0.00010000000454738256,0.2008364517071055,0.21833946121231582,0.2539706118044062,0.654658994922442
