run_mode,run_tag,dataset_name,dataset_slug,remove_leakage,leakage_variant,representation,dtm_path,max_rows,train_size,val_size,test_size,random_state,chi2_k_grid,svm_c_grid,best_chi2_k,best_svm_c,baseline_models,output_dir,Test Accuracy,Test Macro F1
full,full_20260504_154912,civil_win_lose_mixed,civil_win_lose_mixed,True,no_leakage,tf,../artifacts/features/dtm\civil_win_lose_mixed\no_leakage\dtm_csr_TF.npz,,0.7,0.1,0.2,42,"[1000, 3000, 5000, 10000]","[0.0625, 0.125, 0.25, 0.5, 1.0, 2.0, 4.0]",1000,0.25,"['Majority Class', 'TF + SVM']",../artifacts/reports\civil_win_lose_mixed\no_leakage\tf\step3_runs\full_20260504_154912,0.6866725507502206,0.320197030920064
full,full_20260504_154912,civil_win_lose_mixed,civil_win_lose_mixed,True,no_leakage,tfidf,../artifacts/features/dtm\civil_win_lose_mixed\no_leakage\dtm_csr_TF_IDF.npz,,0.7,0.1,0.2,42,"[1000, 3000, 5000, 10000]","[0.0625, 0.125, 0.25, 0.5, 1.0, 2.0, 4.0]",1000,0.125,"['Majority Class', 'TFIDF + SVM']",../artifacts/reports\civil_win_lose_mixed\no_leakage\tfidf\step3_runs\full_20260504_154912,0.6954986760812003,0.35252340252340253
full,full_20260504_154912,criminal_win_lose_mixed,criminal_win_lose_mixed,False,with_leakage,bow,../artifacts/features/dtm\criminal_win_lose_mixed\with_leakage\dtm_csr_BoW.npz,,0.7,0.1,0.2,42,"[1000, 3000, 5000, 10000]","[0.0625, 0.125, 0.25, 0.5, 1.0, 2.0, 4.0]",10000,0.0625,"['Majority Class', 'BOW + SVM']",../artifacts/reports\criminal_win_lose_mixed\with_leakage\bow\step3_runs\full_20260504_154912,0.9244308398699063,0.3603313320649586
full,full_20260504_154912,criminal_win_lose_mixed,criminal_win_lose_mixed,False,with_leakage,tf,../artifacts/features/dtm\criminal_win_lose_mixed\with_leakage\dtm_csr_TF.npz,,0.7,0.1,0.2,42,"[1000, 3000, 5000, 10000]","[0.0625, 0.125, 0.25, 0.5, 1.0, 2.0, 4.0]",5000,0.5,"['Majority Class', 'TF + SVM']",../artifacts/reports\criminal_win_lose_mixed\with_leakage\tf\step3_runs\full_20260504_154912,0.9334226133537402,0.36693452578299407
full,full_20260504_154912,criminal_win_lose_mixed,criminal_win_lose_mixed,False,with_leakage,tfidf,../artifacts/features/dtm\criminal_win_lose_mixed\with_leakage\dtm_csr_TF_IDF.npz,,0.7,0.1,0.2,42,"[1000, 3000, 5000, 10000]","[0.0625, 0.125, 0.25, 0.5, 1.0, 2.0, 4.0]",3000,0.25,"['Majority Class', 'TFIDF + SVM']",../artifacts/reports\criminal_win_lose_mixed\with_leakage\tfidf\step3_runs\full_20260504_154912,0.9255787258465659,0.382484774425432
full,full_20260504_154912,criminal_win_lose_mixed,criminal_win_lose_mixed,True,no_leakage,bow,../artifacts/features/dtm\criminal_win_lose_mixed\no_leakage\dtm_csr_BoW.npz,,0.7,0.1,0.2,42,"[1000, 3000, 5000, 10000]","[0.0625, 0.125, 0.25, 0.5, 1.0, 2.0, 4.0]",10000,0.125,"['Majority Class', 'BOW + SVM']",../artifacts/reports\criminal_win_lose_mixed\no_leakage\bow\step3_runs\full_20260504_154912,0.9251960971876794,0.3635510051993495
full,full_20260504_154912,criminal_win_lose_mixed,criminal_win_lose_mixed,True,no_leakage,tf,../artifacts/features/dtm\criminal_win_lose_mixed\no_leakage\dtm_csr_TF.npz,,0.7,0.1,0.2,42,"[1000, 3000, 5000, 10000]","[0.0625, 0.125, 0.25, 0.5, 1.0, 2.0, 4.0]",1000,0.0625,"['Majority Class', 'TF + SVM']",../artifacts/reports\criminal_win_lose_mixed\no_leakage\tf\step3_runs\full_20260504_154912,0.9338052420126267,0.3702189031543745
full,full_20260504_154912,criminal_win_lose_mixed,criminal_win_lose_mixed,True,no_leakage,tfidf,../artifacts/features/dtm\criminal_win_lose_mixed\no_leakage\dtm_csr_TF_IDF.npz,,0.7,0.1,0.2,42,"[1000, 3000, 5000, 10000]","[0.0625, 0.125, 0.25, 0.5, 1.0, 2.0, 4.0]",5000,0.125,"['Majority Class', 'TFIDF + SVM']",../artifacts/reports\criminal_win_lose_mixed\no_leakage\tfidf\step3_runs\full_20260504_154912,0.927683183470442,0.3902188337587152
full,full_20260504_154912,cwc_win_lose_mixed,cwc_win_lose_mixed,False,with_leakage,bow,../artifacts/features/dtm\cwc_win_lose_mixed\with_leakage\dtm_csr_BoW.npz,,0.7,0.1,0.2,42,"[1000, 3000, 5000, 10000]","[0.0625, 0.125, 0.25, 0.5, 1.0, 2.0, 4.0]",3000,0.0625,"['Majority Class', 'BOW + SVM']",../artifacts/reports\cwc_win_lose_mixed\with_leakage\bow\step3_runs\full_20260504_154912,0.8535911602209945,0.5705991539324873
full,full_20260504_154912,cwc_win_lose_mixed,cwc_win_lose_mixed,False,with_leakage,tf,../artifacts/features/dtm\cwc_win_lose_mixed\with_leakage\dtm_csr_TF.npz,,0.7,0.1,0.2,42,"[1000, 3000, 5000, 10000]","[0.0625, 0.125, 0.25, 0.5, 1.0, 2.0, 4.0]",1000,0.0625,"['Majority Class', 'TF + SVM']",../artifacts/reports\cwc_win_lose_mixed\with_leakage\tf\step3_runs\full_20260504_154912,0.8425414364640884,0.5608024691358025
full,full_20260504_154912,cwc_win_lose_mixed,cwc_win_lose_mixed,False,with_leakage,tfidf,../artifacts/features/dtm\cwc_win_lose_mixed\with_leakage\dtm_csr_TF_IDF.npz,,0.7,0.1,0.2,42,"[1000, 3000, 5000, 10000]","[0.0625, 0.125, 0.25, 0.5, 1.0, 2.0, 4.0]",3000,0.0625,"['Majority Class', 'TFIDF + SVM']",../artifacts/reports\cwc_win_lose_mixed\with_leakage\tfidf\step3_runs\full_20260504_154912,0.8453038674033149,0.5623458481775829
full,full_20260504_154912,cwc_win_lose_mixed,cwc_win_lose_mixed,True,no_leakage,bow,../artifacts/features/dtm\cwc_win_lose_mixed\no_leakage\dtm_csr_BoW.npz,,0.7,0.1,0.2,42,"[1000, 3000, 5000, 10000]","[0.0625, 0.125, 0.25, 0.5, 1.0, 2.0, 4.0]",3000,0.0625,"['Majority Class', 'BOW + SVM']",../artifacts/reports\cwc_win_lose_mixed\no_leakage\bow\step3_runs\full_20260504_154912,0.8149171270718232,0.542013683957418
full,full_20260504_154912,cwc_win_lose_mixed,cwc_win_lose_mixed,True,no_leakage,tf,../artifacts/features/dtm\cwc_win_lose_mixed\no_leakage\dtm_csr_TF.npz,,0.7,0.1,0.2,42,"[1000, 3000, 5000, 10000]","[0.0625, 0.125, 0.25, 0.5, 1.0, 2.0, 4.0]",1000,0.125,"['Majority Class', 'TF + SVM']",../artifacts/reports\cwc_win_lose_mixed\no_leakage\tf\step3_runs\full_20260504_154912,0.8232044198895028,0.5453635934281825
full,full_20260504_154912,cwc_win_lose_mixed,cwc_win_lose_mixed,True,no_leakage,tfidf,../artifacts/features/dtm\cwc_win_lose_mixed\no_leakage\dtm_csr_TF_IDF.npz,,0.7,0.1,0.2,42,"[1000, 3000, 5000, 10000]","[0.0625, 0.125, 0.25, 0.5, 1.0, 2.0, 4.0]",3000,0.125,"['Majority Class', 'TFIDF + SVM']",../artifacts/reports\cwc_win_lose_mixed\no_leakage\tfidf\step3_runs\full_20260504_154912,0.8121546961325967,0.5372879451746995
