Date,PCR,看漲(Call) IV 平均值,看漲(Call) IV 樣本標準差,看跌(Put) IV 平均值,看跌(Put) IV 樣本標準差
2024-01-02,0.7658566512711791,0.020958486061195856,0.015577164107213305,0.03943463324946486,0.03504886756303357
2024-01-03,0.8537544531058314,0.029283658778078887,0.02076693253121917,0.027289360871096048,0.031054014036456194
2024-01-04,0.9017992566294981,0.04563428929910679,0.020739977259576693,0.06416789317612359,0.02884986131534081
2024-01-05,0.8209852715676449,0.04530616550405979,0.014204518646124134,0.04573972721572822,0.019464129547646408
2024-01-08,0.9647967470175152,0.03583315948130213,0.016973891146957167,0.04367109443239696,0.02366048003436121
2024-01-09,0.7980688144442466,0.034468444535658206,0.017895268444639168,0.030896479363989614,0.024775803264847917
2024-01-10,0.941607065750736,0.023742870570232832,0.022064278702530454,0.029075451403167155,0.028912711007760463
2024-01-11,0.8411685990720933,0.07144501979083644,0.03634981113483633,0.08794057989001895,0.019402931616854302
2024-01-12,0.8438584431395609,0.07309476992713476,0.023893961342266446,0.09683239341081737,0.03274441080927581
2024-01-15,0.8233829310861556,0.044873614894588895,0.019301858270199215,0.05777373430147073,0.03494309868964166
2024-01-16,0.8951930438586897,0.037733060921505635,0.022491543591080358,0.037427144981560946,0.027503548480219197
2024-01-17,1.0674857738663273,0.038321917939889864,0.029480763522913494,0.042401190221754086,0.044903213169579834
2024-01-18,0.9569584606561727,0.06463899514771423,0.028026029527411397,0.08012387524782327,0.03287298364713406
2024-01-19,1.0086122403072129,0.03803941465159246,0.026816491608410965,0.08807055714674664,0.033265069181673275
2024-01-22,0.9286260267133244,0.04677719905047013,0.03502790229820168,0.06633129713409708,0.0324264288755096
2024-01-23,0.9809266899397017,0.027352521851480023,0.028908526276143418,0.05052299939414324,0.02629373512147452
2024-01-24,1.1300905560318375,0.028453220479142366,0.025917487898686354,0.035889422927456144,0.035986136769628016
2024-01-25,1.069239216709615,0.055936411579677256,0.026373446382103816,0.08528071274784127,0.027197097585118825
2024-01-26,0.9371062731321212,0.060292061786257435,0.03156884921986213,0.07228892494492867,0.02580809156449286
2024-01-29,1.3790063206175187,0.038368854429913286,0.03374961122486569,0.0673725830383543,0.04375216841326554
2024-01-30,0.9242710600748165,0.0459129136531475,0.026614032281058814,0.046656392028576237,0.054289719177347685
2024-01-31,0.9201393796623478,0.038016743080223146,0.03369336019063521,0.04310911020326461,0.0579411485128095
2024-02-01,1.0053973248528894,0.09042219126156681,0.017663022813009736,0.126322534453987,0.036911837975722145
2024-02-02,1.0667741598558633,0.08941627143092742,0.025184503849798097,0.12033701861675053,0.04049221289695669
2024-02-05,1.020128050191561,0.08230966225529614,0.023956078796301235,0.12705822911413492,0.05048564394164634
2024-02-15,0.9751365297785423,0.07411286681741731,0.07757622018219454,0.11748013014960138,0.09635183958533082
2024-02-16,1.0649032623654173,0.16896145431480883,0.05904130155720281,0.15464468687321395,0.10899792921816613
2024-02-19,1.2932709623387386,0.17074552750465738,0.08292136339158288,0.16991083874288393,0.12904886218108486
2024-02-20,1.2515015515415435,0.1664586278535025,0.18522970058776342,0.2353860906740454,0.23223080165878335
2024-02-21,0.9935391767140223,,,,
2024-02-22,1.1418933362976391,0.055481861946809596,0.02393023344676675,0.07959411501741213,0.03280534955739928
2024-02-23,1.0844008743458966,0.07032874324308731,0.034900887488610914,0.06726181766557478,0.04192746498700501
2024-02-26,1.092511420666581,0.0368177900479733,0.023268352613868296,0.06329126890109843,0.04355997886442989
2024-02-27,1.1151207774083651,0.043065889262540194,0.029542446139707117,0.05615509717677323,0.04666141071875015
2024-02-29,1.059084323078062,0.03077849473430473,0.028015475133715932,0.05123082240157876,0.036781665185901265
2024-03-01,1.0985674542884725,0.06756051408627628,0.02929712251565665,0.08622362081605615,0.06387588657807979
2024-03-04,1.0754925316695028,0.05966663114172224,0.0415983448883434,0.10232837566420061,0.0669146965273454
2024-03-05,0.9893984971093813,0.05444654533661135,0.0393340727125431,0.0759577859487321,0.05868231770492233
2024-03-06,1.0256785529343888,0.05172344536716746,0.04684876648579921,0.07027756173620728,0.05565108578116782
2024-03-07,0.9779528947713669,0.10818825725384054,0.042702164019264195,0.14969187342623605,0.06866996358529537
2024-03-08,0.8982811765320516,0.12913056411410823,0.04735780332535143,0.1310984243757441,0.05764770872414682
2024-03-11,0.8691251680503389,0.1367788914192558,0.05096257917298383,0.11833667519265022,0.05820444889394066
2024-03-12,1.0900103346446335,0.07712202739165928,0.05312014616026548,0.1317862079515822,0.08914233477539181
2024-03-13,0.9287386071363254,0.06937142670567571,0.09083139452677484,0.073354888326881,0.07315665604179807
2024-03-14,0.9833258224425416,0.14014863547932147,0.07665248197266215,0.181282171645718,0.07726657263471767
2024-03-15,0.9047118076840239,0.19131470730370564,0.05844838021472052,0.12196842182541319,0.08061415041280368
2024-03-18,1.079406569511781,0.1478296706379134,0.06061313887274613,0.2415311966266279,0.18146574547585298
2024-03-19,0.9507943893899894,0.20702753572714525,0.1056142156975223,0.22305362461110395,0.16516448594063632
2024-03-20,0.9837575843973021,,,,
