,Model,Best C,Test Accuracy,Test Macro F1
0,Majority Class,,0.5791666666666667,0.24450307827616535
1,BOW + SVM,0.25,0.8541666666666666,0.5722705314009662
2,Proposed MNIR + SVM,1.0,0.8625,0.5756259052348437
