,Model,Best C,Test Accuracy,Test Macro F1
0,Majority Class,,0.8762704374723818,0.3113518605746585
1,TF + SVM,4.0,0.8771542200618648,0.3411948394466689
2,Proposed MNIR + SVM,0.0625,0.8762704374723818,0.3113518605746585
