,Model,Best C,Test Accuracy,Test Macro F1,mnir_no_chi2_lowfreq_filter_applied,mnir_no_chi2_feature_limit,mnir_no_chi2_min_train_df,mnir_no_chi2_original_features,mnir_no_chi2_selected_features,mnir_no_chi2_removed_features,mnir_no_chi2_zero_train_features,mnir_no_chi2_filter_reason
0,Majority Class,,0.580110497237569,0.24475524475524477,,,,,,,,
1,TFIDF + SVM,0.125,0.8756906077348067,0.5869361080805285,,,,,,,,
2,TFIDF + SVM (No Chi-square),0.125,0.8756906077348067,0.5869361080805285,,,,,,,,
3,Proposed MNIR + SVM (No Chi-square),0.0625,0.8232044198895028,0.548254828871569,True,,1.0,5773.0,5634.0,139.0,139.0,train_df_gte_1
4,Proposed MNIR + SVM,0.0625,0.8204419889502762,0.5442694187941336,,,,,,,,
