,Total Return,CAGR,Volatility,Sharpe,Max Drawdown,Max DD Duration,Profit Factor,Win Rate,Odds,Avg Win,Avg Loss,Avg Return (Exp),Kelly
cointegration_basis,0.8175252422823729,0.10053682916931672,0.03117853456473369,3.2245527435094656,-0.034800197773909636,356 days,4.14318469104055,0.5560941828254847,3.307324267692394,0.0009857690451001624,-0.00029805636378919657,0.00041587147785772534,0.42187516429415706
tx_daytrade,0.7919898455336283,0.0954959867869054,0.11699585638299874,0.8162339226296087,-0.20075480497414455,587 days,1.2623919548964286,0.5412757973733584,1.0698607728671639,0.00660370255046121,-0.006172487783399775,0.0007429548269546224,0.1125057982665702
combined,1.4996963507131005,0.15401768919352632,0.05095679860094281,3.0225150210020586,-0.06453745783212472,487 days,1.637128135552003,0.5708172871202396,1.2309141828775556,0.0017810267304615567,-0.0014469138102690326,0.00039565045217624165,0.22214739700942504
0050_buy_hold,3.1005757871472497,0.24687407075524126,0.21889106349484114,1.1278398798636182,-0.3638157894736834,779 days,1.2288746189673676,0.5373831775700935,1.0579007589371252,0.010439270702926362,-0.009867911157767497,0.001044826758025931,0.10008618300635153
sp500_buy_hold,1.308000642078924,0.13971033636757269,0.20510757939928484,0.6811563803578281,-0.3392496000265329,745 days,1.15373238587675,0.5442092154420921,0.9662838746702301,0.0083430057994488,-0.00863411469253388,0.0006049907308738788,0.07251472016402644
gold_buy_hold,1.9520497883527486,0.18442383266248452,0.1861533908715367,0.9907089621040224,-0.20872529913325644,1211 days,1.1986444793993736,0.5538940809968848,0.9653874547243549,0.008106731259386808,-0.008397386168335392,0.0007441467869574641,0.09179369133469367
qqq_buy_hold,2.5056094577470622,0.21668345608182626,0.24882995074884995,0.8708093837969292,-0.3511874144375745,715 days,1.1787194978986835,0.5626168224299065,0.916346719296651,0.010613974351372542,-0.011582923939007912,0.0009054244449257641,0.0853049399736564
bitcoin_buy_hold,9.85477885423871,0.4518662535528868,0.6039470524636,0.7481885236622143,-0.7663456370856905,846 days,1.1558716306459282,0.5089897260273972,1.11504185058947,0.02227813546326078,-0.019979640630962314,0.0015291332457633988,0.06863829552904521
fidelity_global_income_buy_hold,0.7409068261086258,0.09055342038989056,0.14852494973316233,0.6096849085125258,-0.29604298974108456,712 days,1.1278672307047346,0.5390334572490706,0.9645209421199109,0.006340364966360681,-0.006573589737124065,0.00038746391345321406,0.06111066405623883
