,weight
cointegration_basis,0.6178636021059816
tx_daytrade,0.13245912104614307
0050_buy_hold,0.07163549463556097
gold_buy_hold,0.09107303956892021
qqq_buy_hold,0.060186091370864205
bitcoin_buy_hold,0.026782651272530083
