Threshold,年化報酬,年化波動,Sharpe,MDD,Turnover,再平衡次數,平均 RC 偏離
0.01,0.1473400518372998,0.04930945377822467,2.9880690323599977,-0.06967384688134481,1.8771164232709248,67,0.009632643896041055
0.015,0.14642288667104597,0.049405999895537456,2.963666092795168,-0.07187133358938236,1.2924525363395347,32,0.012767219787771048
0.019999999999999997,0.14941584697519872,0.04974785285067252,3.003463233351966,-0.06577352792595992,1.2329596130717118,23,0.01729946707524704
0.024999999999999998,0.1468025891219904,0.050445240364080525,2.91013756823173,-0.07816211984892896,0.9079650652560777,15,0.018674344237944833
0.03,0.14743903297094696,0.05101295006252306,2.89022753614996,-0.08068578648716374,1.0097240325451513,14,0.022848059671121985
0.034999999999999996,0.14813417371319382,0.05182669826084389,2.8582599062675027,-0.08280531836082683,0.7477550923848865,9,0.030109487988538353
0.039999999999999994,0.15043207810353643,0.05143318926514973,2.9248055633498637,-0.08224005126734635,0.9350551447283142,10,0.028257335848096535
0.045,0.1523464465781479,0.051432367075979486,2.9620734031760794,-0.07620211881983763,0.8692505769221557,8,0.028135101380633687
0.049999999999999996,0.14990757730706616,0.05168483571001559,2.9004170226668005,-0.08203963955288229,0.676876685011625,6,0.032568702875651834
0.05499999999999999,0.1520845651500946,0.05139018379855803,2.9594088580465825,-0.0807264280515323,0.7615467720178367,6,0.03498205324645067
0.05999999999999999,0.15211178707019957,0.051886028588749265,2.9316521462038203,-0.07820251303575798,0.640572558263362,5,0.03408332012403791
0.06499999999999999,0.14839771229760856,0.050183824118715754,2.9570825839528743,-0.07540420360771993,0.415785973129829,3,0.03311812382764824
0.06999999999999999,0.1492488265364904,0.0500828237191783,2.9800401705253354,-0.07388686712215875,0.4542003719325789,3,0.03419413299049824
0.07499999999999998,0.1504219664241766,0.051191660347023875,2.9384076508649843,-0.0717672998724328,0.3286090771490078,2,0.035199188302007564
0.07999999999999999,0.1507584506994919,0.05088113841890403,2.962953569519194,-0.06987536666258964,0.34484786388269173,2,0.03484031707596706
0.08499999999999998,0.1504662132066914,0.050823108057258516,2.9605866102713083,-0.06987536666258964,0.3534626735081118,2,0.03511026100031787
0.08999999999999998,0.1528668288961299,0.052035165344170124,2.9377600298767317,-0.06710602164625212,0.39057523236939173,2,0.03493902859196654
0.09499999999999999,0.15336873647679794,0.052001323749239034,2.9493236983037816,-0.06710602164625212,0.40293939507134713,2,0.035223346589560764
0.09999999999999998,0.15388207150210298,0.05212537801937167,2.9521526241002003,-0.06709831612017814,0.4145527908546901,2,0.035064841503201355
0.10499999999999998,0.15574453185266135,0.0520895705007125,2.9899369558159634,-0.06573937424091714,0.44264582186075213,2,0.036928130369920105
0.10999999999999997,0.1559598808688356,0.052128360248741616,2.9918432140324325,-0.06573937424091714,0.45065246590613117,2,0.03716079150339338
0.11499999999999998,0.1575883544002612,0.05208592698261787,3.0255457381578643,-0.0651747029558587,0.47408806661433345,2,0.03704389201736465
0.11999999999999998,0.1582727994522246,0.051995467548348086,3.0439730021670512,-0.06481797254885568,0.48818790646930765,2,0.03739346750811536
0.12499999999999997,0.16037550330628614,0.053552466920179634,2.994736051008202,-0.06526550653375718,0.514006341275189,2,0.03990618789012781
0.12999999999999998,0.16049883631584794,0.05349128865235132,3.000466811688839,-0.06526550653375718,0.5211466786939178,2,0.03987864516054769
0.13499999999999998,0.15908762096939766,0.07357364751881795,2.162290797512897,-0.1532615145623928,0.331606399998154,1,0.10991016710060861
0.13999999999999999,0.15908762096939766,0.07357364751881795,2.162290797512897,-0.1532615145623928,0.331606399998154,1,0.10991016710060861
0.145,0.15908762096939766,0.07357364751881795,2.162290797512897,-0.1532615145623928,0.331606399998154,1,0.10991016710060861
0.15,0.15999372507178333,0.07366263755271964,2.1719793152570377,-0.1532615145623928,0.333743427596768,1,0.11015783093217868
0.155,0.16098895447488015,0.07374294957905633,2.183109780580332,-0.1532615145623928,0.3400977658658451,1,0.11038134551903062
0.15999999999999998,0.16233741909161292,0.07378995904253557,2.1999933486619088,-0.1532615145623928,0.3523217816863353,1,0.11060093526728403
0.16499999999999998,0.16285505370032127,0.07410507183710503,2.197623585849874,-0.1532615145623928,0.3621546173870662,1,0.11248362607743147
0.16999999999999998,0.1637145850613726,0.07427682194213729,2.2041140261616015,-0.1532615145623928,0.37061126800007016,1,0.1132321602227617
0.175,0.16516686499813482,0.07776462925968304,2.123933034472336,-0.1532615145623928,0.37912525466814717,1,0.1252766392385774
0.18,0.1657119683574988,0.07828283451516778,2.1168365885549414,-0.1532615145623928,0.3925455145287001,1,0.12963476446130104
0.18499999999999997,0.16685469683168863,0.0782866438282225,2.1313303096477507,-0.1532615145623928,0.4019079128154053,1,0.13010650107405355
0.18999999999999997,0.16550888221019555,0.07881963880274888,2.099843195480659,-0.1532615145623928,0.4153507370959132,1,0.13593390562995433
0.19499999999999998,0.1663831522615904,0.07882755576245089,2.1107232192127183,-0.1532615145623928,0.423981669951246,1,0.13608868289536746
0.19999999999999998,0.15152295485997702,0.0829867679044449,1.8258688545919526,-0.1532615145623928,0.0,0,0.15120592203950112
0.205,0.15152295485997702,0.0829867679044449,1.8258688545919526,-0.1532615145623928,0.0,0,0.15120592203950112
