,Model,Best C,Test Accuracy,Test Macro F1
0,Majority Class,,0.9343791850009566,0.3220255167639205
1,BOW + SVM,0.0625,0.9470059307442127,0.58389261508305
2,Proposed MNIR + SVM,0.125,0.9251960971876794,0.3635510051993495
