,K,Selected Features,Feature Variant,Best C,Validation Accuracy,Validation Macro F1
0,1000,1000,bow_chi2_k1000,1.0,0.9536930730960582,0.6372901332382409
1,3000,3000,bow_chi2_k3000,1.0,0.9422120168388826,0.6122199313688675
2,5000,5000,bow_chi2_k5000,0.5,0.9383849980864907,0.5589714670817666
3,10000,10000,bow_chi2_k10000,0.0625,0.9437428243398392,0.5055090255673801
