,Model,Best C,Test Accuracy,Test Macro F1
0,Majority Class,,0.8762704374723818,0.3113518605746585
1,BOW + SVM,4.0,0.830755634114008,0.3804593546882425
2,Proposed MNIR + SVM,0.0625,0.8753866548828988,0.3183707292197858
