,Model,Best C,Test Accuracy,Test Macro F1
0,Majority Class,,0.580110497237569,0.2447552447552447
1,BOW + SVM,0.25,0.8535911602209945,0.6460228950989504
2,Proposed MNIR + SVM,0.0625,0.8535911602209945,0.5705991539324873
3,BOW + SVM (No Chi-square),0.25,0.8591160220994475,0.6385228154906174
4,Proposed MNIR + SVM (No Chi-square),0.0625,0.8453038674033149,0.5646772821198492
