Date,count,IV,mean,std,min,25%,50%,75%,max
2024/01/02,170083.0,0.1351367271529511,0.1351367271529511,0.04522530607984154,0.03552058819651604,0.09681445502847431,0.1316626879346371,0.15902421990141272,0.48786253646090616
2024/01/03,376861.0,0.15289252599804434,0.15289252599804434,0.07892814416637954,0.006865116485357285,0.1042642756676674,0.1356680189206078,0.19978742897382007,0.6292004382604359
2024/01/04,102141.0,0.12554968692829374,0.12554968692829374,0.02914876944430151,0.10171782132416962,0.11313832781884821,0.11962492069847881,0.12872625235620888,0.35937343322634696
2024/01/05,133205.0,0.13528102072581785,0.13528102072581785,0.017949461145618375,0.10564322636663911,0.1184824137018621,0.13526995382189747,0.14540227613419293,0.27455321311950687
2024/01/08,161746.0,0.15848841236287833,0.15848841236287833,0.026720402752516408,0.07321679983988402,0.1409812594616413,0.15469488243974744,0.17012749993517995,0.3328509094625711
2024/01/09,255332.0,0.2177756004253251,0.2177756004253251,0.07422775096343828,0.1159521084595099,0.16299954373404385,0.2019489405274391,0.2506637192726135,0.8395464108548315
2024/01/10,262307.0,0.12833724419004042,0.12833724419004042,0.05013800731553733,0.017504524298906324,0.09071571997255089,0.13455261335670946,0.16231446421831847,0.36382887151241294
2024/01/11,91995.0,0.16672844004031445,0.16672844004031445,0.022391857942200912,0.11057218535549938,0.15453983616761863,0.16369266986072065,0.1752937594414502,0.2972839949893951
2024/01/12,67291.0,0.1952412562753449,0.1952412562753449,0.021654081850800876,0.1160620043035224,0.18739134075033478,0.19657510826088487,0.20717918176662176,0.3046451538968086
2024/01/15,193225.0,0.18571564619587627,0.18571564619587627,0.04861274231294642,0.10864621412314476,0.15332148241221902,0.17804651994906368,0.20150190658569334,0.44935141919456423
2024/01/16,215685.0,0.20248713295985915,0.20248713295985915,0.0642322542380043,0.10980392027378083,0.15738591501057145,0.18781253519892693,0.2372413761603832,0.5464356802177428
2024/01/17,289787.0,0.16995693494905267,0.16995693494905267,0.08111531102727047,0.012070677725672723,0.1205781088207662,0.16171528972506521,0.22284673422485585,0.5853320289833843
2024/01/18,75249.0,0.1339713372264018,0.1339713372264018,0.012798150161217933,0.10896342195764186,0.12465625045999881,0.13294548908330495,0.14063519931148738,0.22186877297163005
2024/01/19,131781.0,0.07745797686699958,0.07745797686699958,0.028529419149322437,0.009473261512815953,0.05646997706137598,0.07944420616537333,0.10391549606103452,0.15534833430409434
2024/01/22,149257.0,0.13266783497873294,0.13266783497873294,0.025127706276940196,0.03639349647343159,0.11853736162386835,0.1325450584299862,0.14956367784507574,0.21282676644325255
2024/01/23,90195.0,0.10433455547470959,0.10433455547470959,0.022001574964126188,0.02062452318966389,0.0924182487396896,0.10735439778998494,0.11652015821456907,0.18126885235965254
2024/01/24,142555.0,0.11524861011873465,0.11524861011873465,0.049503044825304834,0.012613078908324242,0.09035384599670768,0.11615895478963852,0.13253504673233255,0.6062097061534226
2024/01/25,97750.0,0.10760430551369757,0.10760430551369757,0.013429915186105371,0.05000597802221775,0.09905994377069177,0.10572648643828927,0.11442516857110427,0.16219486401248723
2024/01/26,86618.0,0.11982680486729383,0.11982680486729383,0.019932439373388885,0.07437765385452658,0.10377358141094446,0.11816986247092484,0.1344656280022114,0.2103114182115346
2024/01/29,88010.0,0.09674160941042298,0.09674160941042298,0.019451728883245076,0.02452906664818525,0.08853173565015199,0.09909816517271103,0.1069157829874754,0.21025542721033094
2024/01/30,92101.0,0.18489836755538414,0.18489836755538414,0.04789725784122053,0.11267205279119312,0.15246347526669501,0.17497446544855833,0.2072094124369323,0.43374442120902235
2024/01/31,247894.0,0.13256285548555954,0.13256285548555954,0.06266846327315886,0.00614270963549614,0.0834987295113504,0.128088204536438,0.17661746419578792,0.5978383250433208
2024/02/01,51673.0,0.1445752323703546,0.1445752323703546,0.022242129225624588,0.09428723245767878,0.13464299803180618,0.14849995126748455,0.16324556141331792,0.19302502546533942
2024/02/02,37387.0,0.1471110151969822,0.1471110151969822,0.026101308343355487,0.07420878678303211,0.11737876140534878,0.15637926907941696,0.1646628266463801,0.19927746569156646
2024/02/05,55349.0,0.18481099884455976,0.18481099884455976,0.048695280573100574,0.05460558475449682,0.14301638148143886,0.2045143565606326,0.22151680824816225,0.2529018692076206
2024/02/15,76915.0,0.08075933486575115,0.08075933486575115,0.05344234907479063,0.003363201597034931,0.03543468317404389,0.08314717456899584,0.11532025392247362,0.5311799018990992
2024/02/16,53722.0,0.15022267233681152,0.15022267233681152,0.02920321961090733,0.119228066316694,0.13156791673898696,0.14455917012006042,0.16220970926463604,0.325553192122057
2024/02/19,73929.0,0.14451402403263156,0.14451402403263156,0.024044589466593522,0.08902250441253187,0.1271258894711733,0.13960525173611943,0.1585463406176865,0.23955008295252922
2024/02/20,68094.0,0.0949628991549492,0.0949628991549492,0.029473176265044438,0.016517324344217776,0.0760315490540862,0.09928699976027011,0.11544772378832101,0.2017379405069351
2024/02/21,178643.0,0.1285885122271697,0.1285885122271697,0.07472114223003366,0.011855505388379099,0.07717915968820455,0.12444398384332657,0.16798345064491033,0.9900611371690033
2024/02/22,67605.0,0.1068245958912064,0.1068245958912064,0.015624017414822644,0.03884614819481969,0.09643174740830437,0.1070982845941931,0.11913670375484973,0.1510401191961765
2024/02/23,85119.0,0.13043777580863009,0.13043777580863009,0.01733496298693715,0.09633545815989374,0.11979566903781144,0.1300859247164428,0.13764087283760307,0.2456284779641032
2024/02/26,76973.0,0.11410701406785491,0.11410701406785491,0.019600903515314846,0.022546322105228903,0.10192997618235647,0.11343435742035507,0.12831425469964744,0.19045182359099389
2024/02/27,136146.0,0.1660535028315912,0.1660535028315912,0.06047773000751704,0.020837013323307042,0.1281121953579783,0.14885978565096852,0.19336164202347395,0.49416422492638234
2024/02/29,104213.0,0.08400271637111952,0.08400271637111952,0.040748201897363036,0.015637412535548213,0.057561820211261515,0.08492625789865854,0.10642464169681073,0.28105919609636076
2024/03/01,76527.0,0.11728063389215232,0.11728063389215232,0.011039669489844495,0.09346065738618375,0.10994119694672524,0.11594098849020895,0.12322421448044478,0.16725828708574175
2024/03/04,123531.0,0.11476882010111772,0.11476882010111772,0.036268838867527624,0.005551507247537375,0.09313171491071581,0.12197582563208414,0.13986050811685619,0.19797436175137761
2024/03/05,161172.0,0.1592690230880575,0.1592690230880575,0.035998549627368884,0.045324042539000506,0.13567548811271785,0.15444964706987144,0.17761703208953145,0.33522246177636084
2024/03/06,164700.0,0.07160269845962784,0.07160269845962784,0.049184838086341214,0.0014268368255347013,0.0294247961140424,0.06832304477393628,0.11053949134190566,0.2612581256693602
2024/03/07,134358.0,0.13715447543516196,0.13715447543516196,0.030165561499176062,0.03481636072695256,0.1174184729205072,0.14259471671588714,0.1610520776196569,0.19719041322886946
2024/03/08,205177.0,0.17845188898936434,0.17845188898936434,0.03908761838540891,0.03627421291664242,0.15241063212949785,0.17481148432396354,0.2052012614649534,0.5674950766851006
2024/03/11,172738.0,0.2613914248582558,0.2613914248582558,0.06671045018341296,0.14565119953408837,0.20565589498370884,0.24387938316136598,0.31593335697114466,0.5726779509528727
