,Model,Best C,Test Accuracy,Test Macro F1
0,Majority Class,,0.676081200353045,0.2689134632262594
1,TFIDF + SVM,4.0,0.6707855251544572,0.4248405103668261
2,Proposed MNIR + SVM,0.5,0.6946160635481023,0.3643839911249382
3,TFIDF + SVM (No Chi-square),1.0,0.6813768755516328,0.4095960239484579
4,Proposed MNIR + SVM (No Chi-square),2.0,0.676081200353045,0.30059077519498084
