,Model,Best C,Test Accuracy,Test Macro F1
0,Majority Class,,0.8791666666666667,0.31189948263118994
1,BOW + SVM,1.0,0.8625,0.36405818911462257
2,Proposed MNIR + SVM,0.25,0.8541666666666666,0.3071161048689139
