,Model,Best C,Test Accuracy,Test Macro F1
0,Majority Class,,0.9343791850009566,0.3220255167639205
1,TF + SVM,4.0,0.951406160321408,0.5772699607148786
2,Proposed MNIR + SVM,0.0625,0.9338052420126268,0.3702189031543745
3,TF + SVM (No Chi-square),2.0,0.9512148459919648,0.5248173665923194
4,Proposed MNIR + SVM (No Chi-square),0.0625,0.9338052420126267,0.34449494304340716
