,Model,Best C,Test Accuracy,Test Macro F1
0,Majority Class,,0.675,0.26865671641791045
1,BOW + SVM,0.25,0.6333333333333333,0.3992380399233891
2,Proposed MNIR + SVM,1.0,0.6541666666666667,0.31369276850663247
