,Model,Best C,Test Accuracy,Test Macro F1,mnir_no_chi2_lowfreq_filter_applied,mnir_no_chi2_feature_limit,mnir_no_chi2_min_train_df,mnir_no_chi2_original_features,mnir_no_chi2_selected_features,mnir_no_chi2_removed_features,mnir_no_chi2_zero_train_features,mnir_no_chi2_filter_reason
0,Majority Class,,0.8762704374723818,0.3113518605746585,,,,,,,,
1,TFIDF + SVM,4.0,0.8577110030932391,0.3802988245032696,,,,,,,,
2,Proposed MNIR + SVM,1.0,0.8731771984091914,0.3109118086696562,,,,,,,,
3,TFIDF + SVM (No Chi-square),4.0,0.856827220503756,0.3799581474028057,,,,,,,,
4,Proposed MNIR + SVM (No Chi-square),0.5,0.8722934158197083,0.31067044381491976,True,,1.0,22144.0,21350.0,794.0,794.0,train_df_gte_1
