,Model,Best C,Test Accuracy,Test Macro F1
0,Majority Class,,0.676081200353045,0.2689134632262594
1,BOW + SVM,0.25,0.6372462488967343,0.4027542772668971
2,Proposed MNIR + SVM,0.5,0.677846425419241,0.3357685441674361
