Dataset,dataset_slug,Leakage,Feature,Model,Chi-square setting,Best C,Test Accuracy,Test Macro F1,Path
CWC,cwc_win_lose_mixed,no_leakage,TF,TF + SVM,No chi-square,1.0,0.8729281767955801,0.5837650004316671,D:\Github\Personal-Project\textual data analysis\artifacts\reports\cwc_win_lose_mixed\no_leakage\tf\step3_runs\full_20260504_154912\model_comparison.csv
CWC,cwc_win_lose_mixed,no_leakage,TF,Proposed MNIR + SVM,No chi-square,0.0625,0.8204419889502762,0.5431433949205331,D:\Github\Personal-Project\textual data analysis\artifacts\reports\cwc_win_lose_mixed\no_leakage\tf\step3_runs\full_20260504_154912\model_comparison.csv
CWC,cwc_win_lose_mixed,no_leakage,TF-IDF,Majority Class,Baseline,,0.580110497237569,0.2447552447552447,D:\Github\Personal-Project\textual data analysis\artifacts\reports\cwc_win_lose_mixed\no_leakage\tfidf\step3_runs\full_20260504_154912\model_comparison.csv
CWC,cwc_win_lose_mixed,no_leakage,TF-IDF,TFIDF + SVM,Chi-square,0.5,0.856353591160221,0.5715595504146304,D:\Github\Personal-Project\textual data analysis\artifacts\reports\cwc_win_lose_mixed\no_leakage\tfidf\step3_runs\full_20260504_154912\model_comparison.csv
CWC,cwc_win_lose_mixed,no_leakage,TF-IDF,Proposed MNIR + SVM,Chi-square,0.125,0.8121546961325967,0.5372879451746995,D:\Github\Personal-Project\textual data analysis\artifacts\reports\cwc_win_lose_mixed\no_leakage\tfidf\step3_runs\full_20260504_154912\model_comparison.csv
CWC,cwc_win_lose_mixed,no_leakage,TF-IDF,TFIDF + SVM,No chi-square,0.5,0.861878453038674,0.5754780050808931,D:\Github\Personal-Project\textual data analysis\artifacts\reports\cwc_win_lose_mixed\no_leakage\tfidf\step3_runs\full_20260504_154912\model_comparison.csv
CWC,cwc_win_lose_mixed,no_leakage,TF-IDF,Proposed MNIR + SVM,No chi-square,0.125,0.8149171270718232,0.5391032296001192,D:\Github\Personal-Project\textual data analysis\artifacts\reports\cwc_win_lose_mixed\no_leakage\tfidf\step3_runs\full_20260504_154912\model_comparison.csv
CWC,cwc_win_lose_mixed,with_leakage,BoW,Majority Class,Baseline,,0.580110497237569,0.2447552447552447,D:\Github\Personal-Project\textual data analysis\artifacts\reports\cwc_win_lose_mixed\with_leakage\bow\step3_runs\full_20260504_154912\model_comparison.csv
CWC,cwc_win_lose_mixed,with_leakage,BoW,BOW + SVM,Chi-square,0.25,0.8535911602209945,0.6460228950989504,D:\Github\Personal-Project\textual data analysis\artifacts\reports\cwc_win_lose_mixed\with_leakage\bow\step3_runs\full_20260504_154912\model_comparison.csv
CWC,cwc_win_lose_mixed,with_leakage,BoW,Proposed MNIR + SVM,Chi-square,0.0625,0.8535911602209945,0.5705991539324873,D:\Github\Personal-Project\textual data analysis\artifacts\reports\cwc_win_lose_mixed\with_leakage\bow\step3_runs\full_20260504_154912\model_comparison.csv
CWC,cwc_win_lose_mixed,with_leakage,BoW,BOW + SVM,No chi-square,0.25,0.8591160220994475,0.6385228154906174,D:\Github\Personal-Project\textual data analysis\artifacts\reports\cwc_win_lose_mixed\with_leakage\bow\step3_runs\full_20260504_154912\model_comparison.csv
CWC,cwc_win_lose_mixed,with_leakage,BoW,Proposed MNIR + SVM,No chi-square,0.0625,0.8453038674033149,0.5646772821198492,D:\Github\Personal-Project\textual data analysis\artifacts\reports\cwc_win_lose_mixed\with_leakage\bow\step3_runs\full_20260504_154912\model_comparison.csv
CWC,cwc_win_lose_mixed,with_leakage,TF,Majority Class,Baseline,,0.580110497237569,0.2447552447552447,D:\Github\Personal-Project\textual data analysis\artifacts\reports\cwc_win_lose_mixed\with_leakage\tf\step3_runs\full_20260504_154912\model_comparison.csv
CWC,cwc_win_lose_mixed,with_leakage,TF,TF + SVM,Chi-square,4.0,0.8701657458563536,0.5818530808770902,D:\Github\Personal-Project\textual data analysis\artifacts\reports\cwc_win_lose_mixed\with_leakage\tf\step3_runs\full_20260504_154912\model_comparison.csv
CWC,cwc_win_lose_mixed,with_leakage,TF,Proposed MNIR + SVM,Chi-square,0.0625,0.8425414364640884,0.5608024691358025,D:\Github\Personal-Project\textual data analysis\artifacts\reports\cwc_win_lose_mixed\with_leakage\tf\step3_runs\full_20260504_154912\model_comparison.csv
CWC,cwc_win_lose_mixed,with_leakage,TF,TF + SVM,No chi-square,4.0,0.8701657458563536,0.5818530808770902,D:\Github\Personal-Project\textual data analysis\artifacts\reports\cwc_win_lose_mixed\with_leakage\tf\step3_runs\full_20260504_154912\model_comparison.csv
CWC,cwc_win_lose_mixed,with_leakage,TF,Proposed MNIR + SVM,No chi-square,0.0625,0.8480662983425414,0.5632627925204344,D:\Github\Personal-Project\textual data analysis\artifacts\reports\cwc_win_lose_mixed\with_leakage\tf\step3_runs\full_20260504_154912\model_comparison.csv
CWC,cwc_win_lose_mixed,with_leakage,TF-IDF,Majority Class,Baseline,,0.580110497237569,0.2447552447552447,D:\Github\Personal-Project\textual data analysis\artifacts\reports\cwc_win_lose_mixed\with_leakage\tfidf\step3_runs\full_20260504_154912\model_comparison.csv
CWC,cwc_win_lose_mixed,with_leakage,TF-IDF,TFIDF + SVM,Chi-square,2.0,0.8812154696132597,0.5898112088133397,D:\Github\Personal-Project\textual data analysis\artifacts\reports\cwc_win_lose_mixed\with_leakage\tfidf\step3_runs\full_20260504_154912\model_comparison.csv
CWC,cwc_win_lose_mixed,with_leakage,TF-IDF,Proposed MNIR + SVM,Chi-square,0.0625,0.8453038674033149,0.5623458481775829,D:\Github\Personal-Project\textual data analysis\artifacts\reports\cwc_win_lose_mixed\with_leakage\tfidf\step3_runs\full_20260504_154912\model_comparison.csv
CWC,cwc_win_lose_mixed,with_leakage,TF-IDF,TFIDF + SVM,No chi-square,1.0,0.8812154696132597,0.5898112088133397,D:\Github\Personal-Project\textual data analysis\artifacts\reports\cwc_win_lose_mixed\with_leakage\tfidf\step3_runs\full_20260504_154912\model_comparison.csv
CWC,cwc_win_lose_mixed,with_leakage,TF-IDF,Proposed MNIR + SVM,No chi-square,0.0625,0.8425414364640884,0.5602058242952515,D:\Github\Personal-Project\textual data analysis\artifacts\reports\cwc_win_lose_mixed\with_leakage\tfidf\step3_runs\full_20260504_154912\model_comparison.csv
