Dataset,dataset_slug,Leakage,Feature,Model,Chi-square setting,Best C,Test Accuracy,Test Macro F1,Path
Administrative,administrative_win_lose_mixed,with_leakage,TF,Proposed MNIR + SVM,Chi-square,0.0625,0.8762704374723818,0.3113518605746585,D:\Github\Personal-Project\textual data analysis\artifacts\reports\administrative_win_lose_mixed\with_leakage\tf\step3_runs\full_20260504_154912\model_comparison.csv
Administrative,administrative_win_lose_mixed,with_leakage,TF,TF + SVM,No chi-square,2.0,0.8780380026513478,0.3345799231937845,D:\Github\Personal-Project\textual data analysis\artifacts\reports\administrative_win_lose_mixed\with_leakage\tf\step3_runs\full_20260504_154912\model_comparison.csv
Administrative,administrative_win_lose_mixed,with_leakage,TF,Proposed MNIR + SVM,No chi-square,0.0625,0.8762704374723818,0.3113518605746585,D:\Github\Personal-Project\textual data analysis\artifacts\reports\administrative_win_lose_mixed\with_leakage\tf\step3_runs\full_20260504_154912\model_comparison.csv
Administrative,administrative_win_lose_mixed,with_leakage,TF-IDF,Majority Class,Baseline,,0.8762704374723818,0.3113518605746585,D:\Github\Personal-Project\textual data analysis\artifacts\reports\administrative_win_lose_mixed\with_leakage\tfidf\step3_runs\full_20260504_154912\model_comparison.csv
Administrative,administrative_win_lose_mixed,with_leakage,TF-IDF,TFIDF + SVM,Chi-square,4.0,0.8577110030932391,0.3802988245032696,D:\Github\Personal-Project\textual data analysis\artifacts\reports\administrative_win_lose_mixed\with_leakage\tfidf\step3_runs\full_20260504_154912\model_comparison.csv
Administrative,administrative_win_lose_mixed,with_leakage,TF-IDF,Proposed MNIR + SVM,Chi-square,1.0,0.8731771984091914,0.3109118086696562,D:\Github\Personal-Project\textual data analysis\artifacts\reports\administrative_win_lose_mixed\with_leakage\tfidf\step3_runs\full_20260504_154912\model_comparison.csv
Administrative,administrative_win_lose_mixed,with_leakage,TF-IDF,TFIDF + SVM,No chi-square,4.0,0.856827220503756,0.3799581474028057,D:\Github\Personal-Project\textual data analysis\artifacts\reports\administrative_win_lose_mixed\with_leakage\tfidf\step3_runs\full_20260504_154912\model_comparison.csv
Administrative,administrative_win_lose_mixed,with_leakage,TF-IDF,Proposed MNIR + SVM,No chi-square,0.5,0.8722934158197083,0.3106704438149197,D:\Github\Personal-Project\textual data analysis\artifacts\reports\administrative_win_lose_mixed\with_leakage\tfidf\step3_runs\full_20260504_154912\model_comparison.csv
Civil,civil_win_lose_mixed,no_leakage,BoW,Majority Class,Baseline,,0.676081200353045,0.2689134632262594,D:\Github\Personal-Project\textual data analysis\artifacts\reports\civil_win_lose_mixed\no_leakage\bow\step3_runs\full_20260504_154912\model_comparison.csv
Civil,civil_win_lose_mixed,no_leakage,BoW,BOW + SVM,Chi-square,0.25,0.6372462488967343,0.4027542772668971,D:\Github\Personal-Project\textual data analysis\artifacts\reports\civil_win_lose_mixed\no_leakage\bow\step3_runs\full_20260504_154912\model_comparison.csv
