,Model,Best C,Test Accuracy,Test Macro F1,mnir_no_chi2_lowfreq_filter_applied,mnir_no_chi2_feature_limit,mnir_no_chi2_min_train_df,mnir_no_chi2_original_features,mnir_no_chi2_selected_features,mnir_no_chi2_removed_features,mnir_no_chi2_zero_train_features,mnir_no_chi2_filter_reason
0,Majority Class,,0.9343791850009566,0.3220255167639205,,,,,,,,
1,TF + SVM,4.0,0.9550411325808303,0.5838519566242338,,,,,,,,
2,TF + SVM (No Chi-square),0.5,0.9565716472163766,0.6345869923052252,,,,,,,,
3,Proposed MNIR + SVM (No Chi-square),0.5,0.9315094700593074,0.46909268154871026,True,,1.0,38159.0,36837.0,1322.0,1322.0,train_df_gte_1
4,Proposed MNIR + SVM,0.0625,0.9317007843887507,0.48377393263371177,,,,,,,,
