,K,Selected Features,Feature Variant,Best C,Validation Accuracy,Validation Macro F1
0,500,500,tf_chi2_k500,0.25,0.6833333333333333,0.33920940170940167
1,1000,1000,tf_chi2_k1000,1.0,0.6916666666666667,0.32897009362785196
