,Model,Best C,Test Accuracy,Test Macro F1
0,Majority Class,,0.9343791850009566,0.3220255167639205
1,TFIDF + SVM,2.0,0.9439449014731204,0.5670715249662618
2,Proposed MNIR + SVM,0.25,0.9255787258465659,0.382484774425432
