,Model,Best C,Test Accuracy,Test Macro F1
0,Majority Class,,0.676081200353045,0.2689134632262594
1,BOW + SVM,0.5,0.6390114739629302,0.4077692708772442
2,Proposed MNIR + SVM,0.0625,0.6813768755516328,0.3387493259745615
