term,mean_abs_shap,svm_coef,mean_test_value
上訴人,0.06867218580245725,-0.5336936408335858,0.0940960243895311
辯論,0.043606780952854245,1.5331023683231249,0.01576016230658936
系爭,0.0404824609706234,-0.5357771058867213,0.08197154470560712
商標,0.03305293264485089,0.48503682950594407,0.04446009838178612
原告,0.029899412733477106,0.33948464323508337,0.09555270008906458
製造,0.025950033200582118,1.2792518435892426,0.01417402005315311
定有,0.024064051268415147,-0.9655427795472502,0.01645275574806939
變更,0.023484547884330964,-0.7091731123918313,0.020565648418130793
期間,0.023171021231130576,-1.7547076457608521,0.009785745698903729
陳述,0.022563891941457352,2.76431389483938,0.004486422473268134
損害,0.02250739181860886,-1.1479188908051572,0.016772782463718165
追加,0.02233631881709167,0.6282787427927612,0.02208254424668698
起訴,0.0220331910773088,-1.1847876321028197,0.01498188370137617
民事,0.021992858107362647,0.492632431388435,0.03466175632666455
財產權,0.021362311373973746,0.8131753686709979,0.01758852935394874
專利法,0.021253212362020584,-0.9550521888077563,0.01743773460378957
提供,0.019605978916633376,2.2358408439784134,0.005530251110223679
訴狀,0.019524097222875396,1.2403939443168643,0.00912744370594236
減縮,0.018753318522119283,0.9544896612963782,0.011273628527292643
網站,0.017109656929030798,-1.4177203310813835,0.006947005634041686
美國,0.016608451796793853,-2.572444075945821,0.003169629015085855
權利,0.016407068121228732,1.8007791606956007,0.005468425283126124
侵害,0.016167884654514058,-0.6359923514105912,0.026909041801817274
送達,0.015372097679361587,-0.756662251112259,0.015204276541472888
賠償,0.0150178083466377,0.7348595752735786,0.018489375481345344
我國,0.014894868633588873,-0.897549326548232,0.008026023159540768
情形,0.014269074749893848,1.1484993180733896,0.007894511864646892
授權,0.012342839036933752,0.5187792967280416,0.017163451744585414
消費者,0.012240915003707711,-1.120335457138393,0.006161336250298972
商品,0.011948364308138002,-0.4041491408809855,0.018506241621975145
