term,mean_abs_shap,svm_coef,mean_test_value
上訴人,0.074905116234499,0.5821335630010188,0.0940960243895311
商標,0.06654816788493276,-0.976564249446864,0.04446009838178612
專利法,0.054289372673894915,2.4395928162773357,0.01743773460378957
原告,0.05351095620927698,-0.6075754075776393,0.09555270008906458
第一,0.04901426223309829,-1.8539094273075112,0.017786400242199334
自有,0.046107277415191376,-3.601284787118835,0.007559468535274038
法律,0.04180494173042294,1.3400379964888485,0.020054708865695336
辯論,0.0407942216882544,-1.434220011602735,0.01576016230658936
產品,0.03291169749441437,-0.7306718625532734,0.03272837201036314
財產權,0.032645931017702544,-1.2426963789729024,0.01758852935394874
連帶,0.030313308794393853,-1.5404905526327382,0.014569158706093798
涉外,0.028857496905199866,-1.1022319412194688,0.011738989489434411
第二,0.02838723116619155,1.2173507436200028,0.015322217596880747
方面,0.02704568781634171,-0.6129820921950468,0.02943884422610244
授權,0.026805559982386692,1.1266589084125505,0.017163451744585414
部分,0.024912754256511162,-1.2806689069710948,0.014406241279976131
系爭,0.02430514525214644,0.3216736351774928,0.08197154470560712
變更,0.023518624604080086,-0.7102021419274662,0.020565648418130793
計算,0.0203751355042715,-1.2006006655353652,0.012808405155638995
附表,0.019934794413723984,-1.461500430702976,0.007465270659645893
專利,0.01979574732757423,-0.16309964749424555,0.10294522781627873
民事,0.019709816481526848,0.44149308689733574,0.03466175632666455
追加,0.019423653355261257,0.5463509278506529,0.02208254424668698
範圍,0.018682384396242615,0.8704957575693323,0.015368635181027433
著作,0.018506823910247706,-0.4038528754198082,0.02791409448202176
修正,0.018023754581324148,-0.7958308933354163,0.011562731649912828
製造,0.017906249053094646,-0.8827195686372403,0.01417402005315311
定有,0.01710941073034323,0.68649571132997,0.01645275574806939
有限公司,0.016889717258997138,0.9447681328734618,0.011487716753030916
清償日,0.016766182893826607,1.179204052903711,0.010108811753042903
