,Date,File,收盤價(元)
143,2021-05-11,o20210511.csv,16583.13
144,2021-05-12,o20210512.csv,15902.37
145,2021-05-13,o20210513.csv,15670.1
146,2021-05-14,o20210514.csv,15827.09
147,2021-05-17,o20210517.csv,15353.89
148,2021-05-18,o20210518.csv,16145.98
149,2021-05-19,o20210519.csv,16132.66
150,2021-05-20,o20210520.csv,16042.36
151,2021-05-21,o20210521.csv,16302.06
152,2021-05-24,o20210524.csv,16338.29
153,2021-05-25,o20210525.csv,16595.67
154,2021-05-26,o20210526.csv,16643.69
155,2021-05-27,o20210527.csv,16601.61
156,2021-05-28,o20210528.csv,16870.86
157,2021-05-31,o20210531.csv,17068.43
158,2021-06-01,o20210601.csv,17162.38
159,2021-06-02,o20210602.csv,17165.04
160,2021-06-03,o20210603.csv,17246.16
161,2021-06-04,o20210604.csv,17147.41
162,2021-06-07,o20210607.csv,17083.91
163,2021-06-08,o20210608.csv,17076.21
164,2021-06-09,o20210609.csv,16966.22
165,2021-06-10,o20210610.csv,17159.22
166,2021-06-11,o20210611.csv,17213.52
167,2021-06-15,o20210615.csv,17371.29
168,2021-06-16,o20210616.csv,17307.86
169,2021-06-17,o20210617.csv,17390.61
170,2021-06-18,o20210618.csv,17318.54
171,2021-06-21,o20210621.csv,17062.98
172,2021-06-22,o20210622.csv,17075.55
173,2021-06-23,o20210623.csv,17336.71
174,2021-06-24,o20210624.csv,17407.96
175,2021-06-25,o20210625.csv,17502.99
176,2021-06-28,o20210628.csv,17590.97
177,2021-06-29,o20210629.csv,17598.19
178,2021-06-30,o20210630.csv,17755.46
179,2021-07-01,o20210701.csv,17713.94
180,2021-07-02,o20210702.csv,17710.15
181,2021-07-05,o20210705.csv,17919.33
182,2021-07-06,o20210706.csv,17913.07
183,2021-07-07,o20210707.csv,17850.69
184,2021-07-08,o20210708.csv,17866.09
185,2021-07-09,o20210709.csv,17661.48
186,2021-07-12,o20210712.csv,17814.33
187,2021-07-13,o20210713.csv,17847.52
188,2021-07-14,o20210714.csv,17845.75
189,2021-07-15,o20210715.csv,18034.19
190,2021-07-16,o20210716.csv,17895.25
191,2021-07-19,o20210719.csv,17789.25
192,2021-07-20,o20210720.csv,17528.74
193,2021-07-21,o20210721.csv,17458.79
194,2021-07-22,o20210722.csv,17572.33
195,2021-07-23,o20210723.csv,17572.92
196,2021-07-26,o20210726.csv,17403.56
197,2021-07-27,o20210727.csv,17269.87
198,2021-07-28,o20210728.csv,17135.22
199,2021-07-29,o20210729.csv,17402.81
200,2021-07-30,o20210730.csv,17247.41
201,2021-08-02,o20210802.csv,17503.28
202,2021-08-03,o20210803.csv,17553.76
203,2021-08-04,o20210804.csv,17623.89
204,2021-08-05,o20210805.csv,17603.12
205,2021-08-06,o20210806.csv,17526.28
206,2021-08-09,o20210809.csv,17485.15
207,2021-08-10,o20210810.csv,17323.64
208,2021-08-11,o20210811.csv,17227.18
209,2021-08-12,o20210812.csv,17219.94
210,2021-08-13,o20210813.csv,16982.11
211,2021-08-16,o20210816.csv,16858.77
212,2021-08-17,o20210817.csv,16661.36
213,2021-08-18,o20210818.csv,16826.27
214,2021-08-19,o20210819.csv,16375.4
215,2021-08-20,o20210820.csv,16341.94
216,2021-08-23,o20210823.csv,16741.84
217,2021-08-24,o20210824.csv,16818.73
218,2021-08-25,o20210825.csv,17045.86
219,2021-08-26,o20210826.csv,17066.96
220,2021-08-27,o20210827.csv,17209.93
221,2021-08-30,o20210830.csv,17396.52
222,2021-08-31,o20210831.csv,17490.29
223,2021-09-01,o20210901.csv,17473.99
224,2021-09-02,o20210902.csv,17319.76
225,2021-09-03,o20210903.csv,17516.92
226,2021-09-06,o20210906.csv,17495.3
227,2021-09-07,o20210907.csv,17428.87
228,2021-09-08,o20210908.csv,17270.49
229,2021-09-09,o20210909.csv,17304.33
230,2021-09-10,o20210910.csv,17474.57
231,2021-09-13,o20210913.csv,17446.31
232,2021-09-14,o20210914.csv,17434.9
233,2021-09-15,o20210915.csv,17354.0
234,2021-09-16,o20210916.csv,17278.7
235,2021-09-17,o20210917.csv,17276.79
236,2021-09-22,o20210922.csv,16925.82
237,2021-09-23,o20210923.csv,17078.22
238,2021-09-24,o20210924.csv,17260.19
239,2021-09-27,o20210927.csv,17313.77
240,2021-09-28,o20210928.csv,17181.44
241,2021-09-29,o20210929.csv,16855.46
242,2021-09-30,o20210930.csv,16934.77
243,2021-10-01,o20211001.csv,16570.89
244,2021-10-04,o20211004.csv,16408.35
245,2021-10-05,o20211005.csv,16460.75
246,2021-10-06,o20211006.csv,16393.16
247,2021-10-07,o20211007.csv,16713.86
248,2021-10-08,o20211008.csv,16640.43
249,2021-10-12,o20211012.csv,16462.84
250,2021-10-13,o20211013.csv,16347.99
251,2021-10-14,o20211014.csv,16387.28
252,2021-10-15,o20211015.csv,16781.19
253,2021-10-18,o20211018.csv,16705.46
254,2021-10-19,o20211019.csv,16900.67
255,2021-10-20,o20211020.csv,16887.82
256,2021-10-21,o20211021.csv,16889.51
257,2021-10-22,o20211022.csv,16888.74
258,2021-10-25,o20211025.csv,16894.24
259,2021-10-26,o20211026.csv,17034.34
260,2021-10-27,o20211027.csv,17074.55
261,2021-10-28,o20211028.csv,17041.63
262,2021-10-29,o20211029.csv,16987.41
263,2021-11-01,o20211101.csv,17068.24
264,2021-11-02,o20211102.csv,17065.97
265,2021-11-03,o20211103.csv,17122.16
266,2021-11-04,o20211104.csv,17078.86
267,2021-11-05,o20211105.csv,17296.9
268,2021-11-08,o20211108.csv,17415.3
269,2021-11-09,o20211109.csv,17541.36
270,2021-11-10,o20211110.csv,17559.65
271,2021-11-11,o20211111.csv,17452.52
272,2021-11-12,o20211112.csv,17518.13
273,2021-11-15,o20211115.csv,17634.47
274,2021-11-16,o20211116.csv,17693.13
275,2021-11-17,o20211117.csv,17764.04
276,2021-11-18,o20211118.csv,17841.37
277,2021-11-19,o20211119.csv,17818.31
278,2021-11-22,o20211122.csv,17803.54
279,2021-11-23,o20211123.csv,17666.12
280,2021-11-24,o20211124.csv,17642.52
281,2021-11-25,o20211125.csv,17654.19
282,2021-11-26,o20211126.csv,17369.39
283,2021-11-29,o20211129.csv,17328.09
284,2021-11-30,o20211130.csv,17427.76
285,2021-12-01,o20211201.csv,17585.99
286,2021-12-02,o20211202.csv,17724.88
287,2021-12-03,o20211203.csv,17697.14
288,2021-12-06,o20211206.csv,17688.21
289,2021-12-07,o20211207.csv,17796.92
290,2021-12-08,o20211208.csv,17832.42
291,2021-12-09,o20211209.csv,17914.12
292,2021-12-10,o20211210.csv,17826.26
293,2021-12-13,o20211213.csv,17767.6
294,2021-12-14,o20211214.csv,17599.37
295,2021-12-15,o20211215.csv,17660.1
296,2021-12-16,o20211216.csv,17785.74
297,2021-12-17,o20211217.csv,17812.59
298,2021-12-20,o20211220.csv,17669.11
299,2021-12-21,o20211221.csv,17789.27
300,2021-12-22,o20211222.csv,17826.83
301,2021-12-23,o20211223.csv,17946.66
302,2021-12-24,o20211224.csv,17961.64
303,2021-12-27,o20211227.csv,18048.94
304,2021-12-28,o20211228.csv,18196.81
305,2021-12-29,o20211229.csv,18248.28
306,2021-12-30,o20211230.csv,18218.84
