,Model,Best C,Test Accuracy,Test Macro F1
0,Majority Class,,0.580110497237569,0.24475524475524477
1,TF + SVM,4.0,0.8646408839779005,0.5777560339204175
2,Proposed MNIR + SVM,0.0625,0.8425414364640884,0.5608024691358025
