,Model,Best C,Test Accuracy,Test Macro F1
0,Majority Class,,0.8762704374723818,0.3113518605746585
1,TFIDF + SVM,4.0,0.8674326115775519,0.37620442582030283
2,Proposed MNIR + SVM,2.0,0.8736190897039329,0.31092238735550837
