,Model,Best C,Test Accuracy,Test Macro F1
0,Majority Class,,0.9343791850009566,0.3220255167639205
1,TFIDF + SVM,1.0,0.9466233020853262,0.4973972283192302
2,Proposed MNIR + SVM,0.125,0.927683183470442,0.3902188337587152
