Date,holdings_0050,position_0050,holdings_00631L,position_00631L,profitfee,cumReturn
2014-10-31,0.7,,0.30000000000000004,,,
2014-11-03,0.7,45.919999999999995,0.30000000000000004,6.1080000000000005,,
2014-11-04,0.7,45.955,0.30000000000000004,6.141000000000001,0.06800000000000406,0.06800000000000406
2014-11-05,0.7,45.849999999999994,0.30000000000000004,6.090000000000001,-0.15600000000000414,-0.08800000000000008
2014-11-06,0.7,45.56999999999999,0.30000000000000004,6.003000000000001,-0.3670000000000009,-0.45500000000000096
2014-11-07,0.7,45.64,0.30000000000000004,6.039000000000001,0.10600000000000698,-0.348999999999994
2014-11-10,0.7,46.305,0.30000000000000004,6.222,0.847999999999999,0.499000000000005
2014-11-11,0.7,46.165,0.30000000000000004,6.207000000000002,-0.15499999999999936,0.34400000000000563
2014-11-12,0.7,45.5,0.30000000000000004,6.030000000000001,-0.8419999999999996,-0.497999999999994
2014-11-13,0.7,45.955,0.30000000000000004,6.090000000000001,0.5149999999999979,0.0170000000000039
2014-11-14,0.7,45.99,0.30000000000000004,6.096000000000001,0.04100000000000392,0.05800000000000782
2014-11-17,0.7,45.56999999999999,0.30000000000000004,6.018000000000001,-0.4980000000000091,-0.4400000000000013
2014-11-18,0.7,45.43,0.30000000000000004,5.970000000000001,-0.1879999999999935,-0.6279999999999948
2014-11-19,0.7,46.09499999999999,0.30000000000000004,6.114000000000001,0.8089999999999922,0.18099999999999739
2014-11-20,0.7,46.61999999999999,0.30000000000000004,6.273000000000001,0.6839999999999984,0.8649999999999958
2014-11-21,0.7,46.655,0.30000000000000004,6.282000000000001,0.04400000000001114,0.9090000000000069
2014-11-24,0.7,46.76,0.30000000000000004,6.306000000000001,0.1289999999999969,1.0380000000000038
2014-11-25,0.7,46.794999999999995,0.30000000000000004,6.330000000000001,0.05899999999999661,1.0970000000000004
2014-11-26,0.7,46.794999999999995,0.30000000000000004,6.3180000000000005,-0.012000000000000455,1.085
2014-11-27,0.7,47.25,0.30000000000000004,6.405000000000001,0.542000000000006,1.627000000000006
2014-11-28,0.7,47.25,0.30000000000000004,6.420000000000001,0.01499999999999968,1.6420000000000057
2014-12-01,0.7,46.76,0.30000000000000004,6.309000000000001,-0.6010000000000018,1.041000000000004
2014-12-02,0.7,46.059999999999995,0.30000000000000004,6.165000000000001,-0.844000000000003,0.19700000000000095
2014-12-03,0.7,46.794999999999995,0.30000000000000004,6.363000000000001,0.9329999999999998,1.1300000000000008
2014-12-04,0.7,46.96999999999999,0.30000000000000004,6.426000000000001,0.23799999999999688,1.3679999999999977
2014-12-05,0.7,46.794999999999995,0.30000000000000004,6.396000000000001,-0.2049999999999974,1.1630000000000003
2014-12-08,0.7,46.44499999999999,0.30000000000000004,6.351000000000002,-0.39500000000000046,0.7679999999999998
2014-12-09,0.7,46.339999999999996,0.30000000000000004,6.276000000000002,-0.17999999999999705,0.5880000000000027
2014-12-10,0.7,45.709999999999994,0.30000000000000004,6.114000000000001,-0.7920000000000034,-0.20400000000000063
2014-12-11,0.7,45.675,0.30000000000000004,6.105000000000001,-0.04399999999999604,-0.24799999999999667
2014-12-12,0.7,45.709999999999994,0.30000000000000004,6.105000000000001,0.03499999999999659,-0.21300000000000008
2014-12-15,0.7,45.56999999999999,0.30000000000000004,6.087000000000001,-0.15800000000000125,-0.37100000000000133
2014-12-16,0.7,45.184999999999995,0.30000000000000004,6.036000000000001,-0.4359999999999973,-0.8069999999999986
2014-12-17,0.7,44.48499999999999,0.30000000000000004,5.871000000000001,-0.8650000000000029,-1.6720000000000015
2014-12-18,0.7,44.589999999999996,0.30000000000000004,5.883000000000001,0.11700000000000355,-1.554999999999998
2014-12-19,0.7,45.64,0.30000000000000004,6.066000000000001,1.233000000000004,-0.32199999999999385
