TrmTerm(法律名詞),TrmContent(解釋),JtIds(M：刑事、F：家事、G：一般、V：民事、A：行政)
抄襲,"我國著作權法雖無「抄襲」一詞，但其核心概念是指侵害著作權人的重製權及改作權。例如：甲未經乙的同意或授權，擅自將乙的文章內容原封不動放到自己的文章中，即是侵害重製權；甲未經乙的同意或授權，擅自將乙的文章改寫後，放到自己的文章中，則是侵害改作權。
實務上認定抄襲之要件為「接觸」及「實質相似」，換句話說，如果乙要主張甲抄襲自己的著作，應證明甲曾經直接或間接接觸過乙的著作，並且甲的著作與乙的著作構成實質相似。
",A             
禁反言,「禁反言」是指當你做了一個法律上的主張之後，基於誠實信用的原則，禁止出爾反爾，在事後否認它或做相反的主張，造成相對人因為信賴該表示而受有損害。,G             
著作財產權,著作財產權包括：重製權、公開播送權、公開傳輸權、改作權、編輯權、散布權、出租權、公開口述權（語文著作）、公開上映權（視聽著作）、公開演出權（語文、音樂或戲劇、舞蹈著作）、公開展示權（未發行之美術著作或攝影著作）等。著作財產權得讓與他人，存續期間原則上為著作人之生存期間及其死亡後50年。,A             
刑事執行,「刑事執行」，指刑事判決確定後，依刑訴法第457條規定由檢察官指揮執行，其應執行之內容包括：刑罰（死刑、無期徒刑、有期徒刑、拘役、罰金、緩刑及其條件，有期徒刑易科罰金或易服社會勞動，及罰金易服勞役）、保安處分及沒收（含扣押物發還）等。,M             
拍定金額,法院依強制執行法拍賣動產、不動產、船舶、航空器或其他財產權等債務人的財產，經法院宣示由出價最高的投標人得標，該得標的價額，就是「拍定金額」。,V             
緩起訴期間,檢察官對於已經具備追訴要件的犯罪，在一定之條件下，以命被告遵守或履行一定事項代替提起公訴，如被告信守承諾，在一段期間內不違背應遵守之事項，或完成應履行之事項後，檢察官不再對其進行訴追，亦即被告不必上法院接受審判。而該段期間即稱為緩起訴期間，法律規定為最少一年，最多三年。,M             
遺囑要式性,為確保遺囑的存在及真實性， 遺囑的作成必須依照一定的方式，才發生效力，稱為遺囑要式性。例如遺囑人要做成公證遺囑，必須(1)指定二人以上的見證人；(2)在公證人前，用嘴巴說出遺囑意旨；(3)由公證人筆記、宣讀、講解；(4)經遺囑人認可後，記明年、月、日，由公證人、見證人及遺囑人同行簽名。如果違反這些方式，則所作成的公證遺囑不生效力。,F             
因果關係中斷,係指犯罪行為的前一條件已經開始發生作用，但尚未造成結果發生之前，因後一條件的介入，獨立造成結果之發生，從而造成前一條件之效力因而中斷者而言。例如甲殺乙，乙在送醫急救途中，因救護車發生嚴重車禍，導致乙因車禍而喪命，則甲的犯罪行為與乙的死亡結果歷程，乃因意外介入的車禍而中斷。,M             
代理人,代理被告或自訴人為訴訟之人謂之代理人。例如被告委任律師當自己的代理人，代理出庭及提起上訴、抗告等訴訟行為。,M             
層級化法律保留,司法院大法官釋字第443號解釋理由書第1段提出「層級化法律保留」原則之概念略為：何種事項應以法律直接規範或得委由命令予以規定，與所謂規範密度有關，應視規範對象、內容或法益本身及其所受限制之輕重而容許合理之差異，諸如剝奪人民生命或限制人民身體自由者，應由法律規定；涉及人民其他自由權利之限制或給付行政措施涉及公共利益之重大事項者，亦應由法律規定，如以法律授權主管機關發布命令為補充規定時，其授權應符合具體明確之原則；若僅屬與執行法律之細節性、技術性次要事項，則得由主管機關發布命令為必要之規範。,A             
教唆幫助犯,假設A叫B去幫忙C犯罪，則A就是教唆幫助犯，B是幫助犯，C就是正犯。,M             
複查,「複查」是指對於公布的結果再次檢查或再查證一次的意思。例如，考選部依典試法第26條第2項授權訂定的「應考人申請複查成績辦法」第2條第3項規定，應考人在放榜後，如果對自己的成績有疑問，可以在榜示次日起10日內，向考選部申請複查成績。,"M,A           "
106司暫家護496號,請參考「106年度家訴字第831號」的解釋。,F             
自始不能,"又稱「自始給付不能」， 是指債務人在訂約時就沒有辦法依照債的本旨而為給付。例如：甲、乙於100年12月10日簽訂買賣契約，甲將其名下的Ａ屋出售給乙，但實際上Ａ屋早在100年11月10日就因為地震倒塌而無法交屋。由於甲、乙締約時A屋早已因地震倒塌，所以甲一開始就無法交A屋，此即為「自始不能」。
",V             
第二級毒品,依毒品危害防制條例第2條2項規範毒品項目，罌粟、古柯、+E21大麻、安非他命、配西汀、潘他唑新及其相類製品。而毒品總共分為四級，分級的依據是根據三個要素綜合評斷 : 成癮性、濫用性、社會危害性。,M             
外界事實說,此為舉證責任分配的一種學說。此說將應證事實區別為外界事實（即表現於外的事實， 例如：意思表示）或內界事實（非明顯可知的事實，例如：善意、惡意），認為主張外界事實的當事人應負舉證責任，內界事實的當事人則不負舉證責任。,V             
一造辯論,"訴訟程序原則上是由雙方均到法院進行辯論，法院會通知雙方在指定期日到法院進行辯論，並於辯論終結後定期宣判。如果當事人的一方在收到法院的通知書或傳票後，沒有正當理由而未到法院開庭，到場的一方可聲請單方辯論而為判決，以避免當事人藉故拖延訴訟。

",V             
教唆未遂,被教唆人雖因教唆犯之教唆行為而萌生犯意，並著手實行，但尚未達既遂之狀態者，則教唆犯仍依其所教唆之未遂處斷。例如：A唆使B去殺C，B聽從A的話去殺C，但是C沒有發生死亡的結果，此時A就是教唆殺人未遂。,M             
給付之訴,請求被告給付金錢或特定物、為一定行為、不行為或意思表示的訴訟類型。例如：原告請求被告給付100萬元（或交付車輛、返還土地、交付子女…等）、禁止被告在土地上建築房屋（製造噪音、排放污水…等）、請求被告辦理土地所有權移轉登記等均屬之。,V             
通訊監察譯文,偵查犯罪機關依法定程序向法院聲請核發監聽票，進行監聽後將之譯為文字者謂監聽譯文，乃該監聽錄音內容之顯示。,M             
裁量逾越,裁量逾越是指行政機關行使裁量權的結果，超越法律明文授權的範圍，屬於行政裁量瑕疵的一種類型。例如依道路交通管理處罰條例第8條第1項第2款及第84條規定：「疏縱或牽繫禽、畜、寵物在道路奔走，妨害交通者，處所有人或行為人新臺幣三百元以上六百元以下罰鍰。」警察機關對於違規人最多僅能裁處新臺幣600元以下的罰鍰，但卻裁處罰鍰新臺幣700元。,A             
舉輕明重,一種解釋法律的方法，指法律上的規定如果規範情節比較輕的事實，那麽在解釋上，性質相雷同且情節更加嚴重的事實，當然也包括在規範的效力範圍內。,M             
遺棄罪,為刑法罪章之名稱，刑法分則第25章「遺棄罪」，包括刑法第293條無義務者之遺棄罪、第294條違背義務之遺棄罪，及第295條遺棄直系血親尊親屬罪。,M             
受領勞務遲延,指受僱人已合法提出需僱用人受領之勞務給付，但僱用人未予受領。依民法第487條前段規定，此種情形，受僱人無補服勞務之義務，仍得向僱用人請求報酬。,V             
定暫時狀態之處分,請詳見有關「定暫時狀態」之解釋。,V             
監護人,法律上的監護人有兩種，一種是未成年人的監護人，一種是成年人的監護人。前者是父母都不能行使親權時，要有一個第三人出來當監護人；後者是因心神喪失或心智缺陷等原因，而被法院作監護宣告時，也要有一個監護人。監護人要保護照顧被監護人，並當他的法定代理人。,F             
訴訟要件,訴訟可以合法進行並且應由法院為實體判決所必須具備的條件。例如：告訴乃論罪之合法告訴，為法院為實體判決之訴訟要件。缺少了有效的訴訟條件，其效果應依其屬形式性或實體性欠缺異其處理。若為形式性欠缺，則應為不受理或管轄錯誤之判決，若為實體性欠缺，則應為免訴判決。至於若兩者皆欠缺，則應優先以欠缺形式訴訟條件為理由，為不受理或管轄錯誤之判決。 ,M             
詰問,就是在法院開庭調查證據時，可以由被告（或辯護人）、檢察官，分別對證人、鑑定人直接問話的程序，目的在發現真實，以提供法院作為正確判斷的依據。,M             
追徵,在刑事法上係指受沒收宣告，惟於全部或一部不能沒收或不宜執行沒收時之替代執行方法。,M             
侵權行為責任,因故意或過失不法侵害他人的權利，造成他人的權利或利益受損害，所應負的法律責任。賠償方法以回復原狀（回復到損害前的原狀）為原則，如果無法回復原狀，則應賠償金錢。一般而言，侵權行為人，須因故意或過失不法侵害他人的權利或利益而使他人受到損害，才須負侵權行為損害賠償責任。但在特殊情形，即使行為人並無故意或過失，仍要負侵權行為責任（例如依保全業法第15條規定，保全人員因為執行職務不法侵害委任人的權益時，保全業者縱然沒有過失，也要與保全人員負連帶侵權行為損害賠償責任）。,V             
抗告期間,刑事訴訟程序中，對法院之裁定不服者，應向法院提起抗告。抗告除法律別有規定不許提起外，通常應於裁定送達後五日內提起，即提起抗告之期間。例如法院裁定羈押被告，於裁定送達日起五日，被告均有對該羈押裁定提起抗告的權利，該法定五日之期間，即為抗告期間。,M             
著作權,"為一種保護思想表達方式的法律規範，其可分為著作人格權與著作財產權。
其中著作人格權包括公開發表權、姓名表示權及禁止他人以扭曲、變更方式，利用著作損害著作人名譽的權利。
著作財產權則包括重製權、公開口述權、公開播送權、公開上映權、公開演出權、公開傳輸權、公開展示權、改作權、散布權、出租權等等。",M             
人格從屬性,法院在認定當事人之間是否有僱傭關係時，通常依當事人間有無人格從屬性、經濟上從屬性及組織從屬性等特徵來判斷。所謂人格從屬性，是指勞工的工作時間、地點及給付勞務方法，必須服從雇主指揮監督，自己不能任意決定，並應親自執行工作，不可以請其他人代理，且受到雇主考核。若不聽從雇主指揮，須受雇主懲罰。,V             
身分犯,犯罪之成立與否和犯人之身分原則上並無關係，但刑法中有某些犯罪將犯人之身分或其他特定關係，規定為其構成要件或為刑罰加減或免除之事由，此種因身分關係而成立之犯罪或刑罰加減或免除事由之犯罪態樣，即為身分犯，反之則為普通犯。身分犯又可區分為純正身分犯與不純正身分犯。純正身分犯係指必須具備某種身分或其他特定關係之人，始能成為該犯罪之主體，例如刑法第一百二十一條第一項之收賂罪，必須具備公務員身分，始能成立，故普通人縱使接受賄賂，亦不成立此罪。不純正身分犯係指某種犯罪，雖然任何人均可能實施，但對於具備某種身分或其他特定關係之人成立之犯罪，另規定加重或減輕其刑，例如普通人亦可實施刑法第二百七十七條、第二百七十八條之傷害罪，惟依刑法第二百八十條之規定，對於直系血親尊親屬犯傷害罪者，則加重其刑至二分之一。,M             
個別處分,行政機關就公法上具體事件所為之決定或其他公權力措施而對外直接發生法律效果之單方行政行為。,A             
嚴格證明,"解釋一：指必須以法律上具有證據能力，而且經法律嚴格規定的方式進行調查的證據。嚴格證明的對象包括犯罪事實、處罰條件的事實、刑罰加重減免之事由等。例如，要以證人的指證作為被告犯罪的證明，除有特別規定外，證人必須要到法庭來接受當事人的對質詰問，而且證人在作證前也要經過具結，經過這樣嚴格的調查程序，才可以將證人的陳述內容，作為判斷被告是否犯罪的依據。如果證人只是在庭外提出書面意見供法院參考，這樣的書面陳述，是不可以拿來作為認定被告犯罪的依據。
解釋二：指認定犯罪事實所依據的證據，必須具有證據能力，且依照法律規定進行嚴格的調查程序，也就是對當事人、證人、鑑定人、文書、勘驗的調查，要按照刑事訴訟法規定的調查程序，例如：（1）對證人的調查，應使證人到場，告知具結及偽證的處罰，由證人接受當事人及辯護人詰問或審判長訊問（第166條至171條）。（2）對鑑定人的調查，鑑定人應在鑑定前具結，對鑑定的經過及結果用言詞或書面報告；（3）對文書的調查，應向當事人及辯護人宣讀或告以要旨（第165條）；（4）對勘驗的調查，指法官或檢察官用五官的感官知覺，檢驗觀察與犯罪有關的人、地、物狀態，用文字記載成筆錄，並讓當事人及辯護人辨明（第212條至219條）。另外，物證（例如兇刀）的勘驗，要當庭提示證物，使當事人及辯護人辨認（第164條）。經過嚴格調查方法，法院才能用這個證據來判斷認定事實。也就是說，法院在判斷被告有無犯罪事實所使用的證據，都必須經過嚴格證明程序，而法院在心證上要達到「毫無合理懷疑確信」的程度。",M             
特別負擔,"行政機關對特定人民為特別給付時，而對該特定人民課以公法上給付來作為代價。
例如：人民丟棄大型垃圾時，可以依照廢棄物清理法規定，洽請執行機關安排時間排出，執行機關對該人民為此特別給付時，人民必須配合執行機關規定的時間、地點、作業等清除處理方式。",A             
權利能力,指享受權利負擔義務的資格。凡是人，都有享受權利負擔義務的資格，而且不能拋棄。自然人的權利能力，從出生就具備，直到死亡為止；胎兒如果將來不是死產，同樣有享受權利負擔義務的資格；法人也有權利能力，但會受到法令的限制，而且專屬於自然人的權利義務（例如：婚姻、同居、扶養、繼承等），法人不能享有。,V             
消滅時效,債權人的特定權利，在一定期間內不行使，導致發生無權利存在的狀態，債務人因此得拒絕負相對義務的法律效果。,V             
保外治療,羈押中的被告罹患疾病，經法院准許具保停止羈押到看守所外就醫接受治療，稱作保外治療(或稱保外就醫)。當被告罹患疾病的程度，到達了不保外就醫，顯然難以痊癒的程度，若被告此時聲請保外就醫，基於對生命及身體權利的尊重，法院必須要准許。,M             
和誘,刑法之罪名，規定於刑法第240條第1項及第2項「和誘未滿二十歲之男女，脫離家庭或其他有監督權之人者，處三年以下有期徒刑。和誘有配偶之人脫離家庭者，亦同。」係指未違反被誘人的意願，引誘被誘人脫離家庭或其他有監督權人。依引誘的對象又可區分為和誘「未成年人」、和誘「有配偶的人」兩種情形。,M             
繼承,依照民法第1147條、第1148條的規定，「繼承」是指如果有人去世，他的全部財產、債務等權利及義務，原則上都由他的繼承人來承受的意思。,F             
開除人犯,指人犯已經脫離羈押機關的拘束權限，亦即自原機關羈押被告登記上除名，例如另案執行、撤銷羈押等。,M             
足認其執行職務有偏頗之虞者,有特別利害關係，或與特定人間有密切之交誼或嫌怨，或基於其他情形客觀上足疑其為不公平之職務執行時，得據為請求迴避之原因。例如：行政程序法第33條第1項第2款即規定：「公務員有下列各款情形之一者，當事人得申請迴避︰……二、有具體事實，足認其執行職務有偏頗之虞者。」。,G             
裁判費,"進行訴訟程序依法必須繳納的費用之一，原則上於提起訴訟或聲請時先預納。繳納裁判費是訴訟合法要件，如果不繳或沒有繳足，法院會通知補正，如不補正或補正不完全，法院可以裁定駁回起訴或聲請。
例如：臺北市稅捐稽徵處核定甲應繳納房屋稅新臺幣60萬元，甲向臺北高等行政法院對臺北市稅捐稽徵處提起行政訴訟，這是通常訴訟程序的案件，甲應該繳納裁判費4,000元。",A             
放棄繼承,如果是詢問「拋棄繼承」的意思，請參考「拋棄繼承」的解釋。,F             
真實職業資格,"就業服務法第5條第1項規定雖禁止雇主以種族、階級 、性別、年齡等為由予以就業歧視，但在判斷是否構成歧視時，如果雇主對於求職者所設就業條件為該職務所必需，且為事業單位正常營運的合理需要者，即不構成歧視行為。例如雇主以求職者的年齡為就業條件，學理上認為如直接以年齡設定不利益差別待遇，對正常營運是合理需要，則具有正當性，不構成違反就業服務法的禁止歧視規定。學理上稱此為真實職業資格（Bona Fide Occupational Qualifications, BFOQs）。",A             
獨立審判,法官必須依據法律審理並公平的作出裁判，不受外界輿論、行政上級長官或其他與法律規定不相關的因素干預。,M             
逾此範圍,超過這部分的,G             
繼承回復請求權,當一個人死亡後，他的遺產是歸屬於全部的繼承人，但是如果有繼承人的身份被否認，或是有人假冒繼承人來侵害真正繼承人繼承遺產的權利，那被否認或被侵害的繼承人可以要求對方承認或還出來，這就是繼承回復請求權。,F             
定暫時狀態假處分,定暫時狀態假處分是行政訴訟的一種保全制度。依行政訴訟法第298條第2項規定，聲請人對於爭執之公法上法律關係，為防止重大之損害或避免急迫之危險而有必要時，得聲請行政法院為定暫時狀態之假處分。由於定暫時狀態假處分只是一種保全措施，所以只是暫時決定法律關係狀態，並無終局確定法律關係之效力。,A             
證據法則,泛指法院在審理案件的過程中，如何透過證據來認定事實，做出判斷的相關法則。包括證據方法及調查程序（證據應該以何種方式呈現）、舉證責任的分配（當事人間由誰負擔證明的責任）、證據排除法則（何種證據可以作為認定事實的基礎）、證明力（如何評價證據的證據價值）等。,G             
特別審判籍,法院取得一般性的管轄權，稱為普通審判籍，法院根據訴訟事件之性質而取得的管轄權，則為特別審判籍，請詳見「普通審判籍」之解釋。,V             
揭櫫,揭示、公布的意思。通常是用在指稱「依據某個位階很高的法律或法理」，如「揭櫫憲法保障言論自由之精神」。,F             
追訴權時效,追訴權時效指國家依法得以追訴特定犯罪的期限。如果犯罪發生後一定期間內，檢察官沒有起訴的話，就不能再追究這個犯罪。刑法是以特定罪名法定最重本刑的輕重來決定追訴權時效長短，犯的罪越重，追訴權期間越長。當法定最重本刑為死刑、無期徒刑者，追訴權時效為30年；法定最重本刑為一年未滿有期徒刑、拘役或罰金者，追訴權時效為5年。,M             
第三人,"特定事件當事人以外的人。
例如：人民甲對行政機關乙提起行政訴訟，原告甲或被告乙以外的人，就是「第三人」。",A             
特別犧牲理論,"國家基於公益目的行使特定公權力，並非對一般人產生影響或限制，而是對特定相對人產生影響或限制，造成特定相對人的財產權受有損失，而該損失與其他一般人相較顯失公平，超出社會責任所應忍受的範圍，形成其個人的特別犧牲，基於平等原則考量，國家應給予該特定相對人合理的補償，以衡平其因此所受的損失。
例如：國家因公共事業的需要而合法徵收特定人民所有土地時，特定人民即因公益而受有特別犧牲，此時國家應在相當期間內給予其合理的徵收補償。",A             
因果關係,行為與結果之間有關聯性。如果一個行為，通常會產生特定損害，行為與結果間，就有因果關係。如果沒有特定行為，一定不會產生特定損害，行為與結果間，就沒有因果關係。例如：甲開車撞到行人乙，結果造成乙受傷，行人乙如果沒有被甲撞到就不會受傷，又因為開車撞到行人通常會使行人受傷，因此甲開車撞到行人乙，與行人乙受傷之間，就有因果關係。又如：行人乙受傷送醫，住院期間家裡失火，因為住院通常不會導致家裡失火，所以乙受傷住院與家裡失火之間，就沒有因果關係。,V             
堪信,可以相信、足以相信,G             
著名商標,有客觀證據足以認定已廣為相關事業或消費者所普遍認知的商標（商標法施行細則第31條）。,A             
送達代收人,代為收受法院送達文書之人。,A             
合先敘明,先行說明,F             
既成道路,私有土地因長期供公眾通行使用，形成公用地役關係，土地所有權人對該土地的所有權權能就受到限制。司法院釋字第400號解釋理由書指出，具有公用地役關係的既成道路須具備的要件，第一，須為不特定公眾通行所必要，而非只為通行的便利或省時。第二，在公眾通行之初，土地所有權人沒有阻止通行的情形。第三，須經歷的年代久遠而未曾中斷，不一定限定期間要多久，但應以時日長久，一般人已經記不得確實的開始時間，只能大略知道（例如：始於日據時期、八七水災等）。,A             
夫妻財產權,有關夫妻財產權的歸屬，民法有法定財產制及約定財產制之分。夫妻可以在結婚前或結婚後，以契約就民法所定的約定財產制中，選擇其一作為他們的夫妻財產制，夫妻沒有用契約訂立夫妻財產制的，就以法定財產制作為他們的夫妻財產制。因國人在結婚時多半沒有約定夫妻財產制的習慣，所以法定財產制其實是國內大多數夫妻所適用的夫妻財產制。將夫或妻的財產分為婚前財產與婚後財產，由夫妻各自所有，並由夫或妻各自管理、使用、收益及處分。夫妻於家庭生活費用外，並可以協議一定數額的金錢，提供給夫或妻自由處分，並且就彼此的婚後財產，相負有報告的義務。法定財產制關係消滅時，則發生剩餘財產分配的問題。,F             
拘捕前置原則,拘捕前置原則，是指檢察官對於偵查中的被告或犯罪嫌疑人，必須先經過合法的拘提或逮捕程序，才可以向法院聲請羈押，以保障被告或犯罪嫌疑人的人身自由。如果被告或犯罪嫌疑人未經依法拘提或逮捕，檢察官聲請羈押就不合法，法院應予駁回。,M             
"
偽造盜用印章印文或署押罪",為刑法之罪名，規定於刑法第217條：「偽造印章、印文或署押，足以生損害於公眾或他人者，處三年以下有期徒刑。盜用印章、印文或署押，足以生損害於公眾或他人者，亦同。」,M             
代位物,當抵押權的標的物滅失、毀損時，如果抵押人因此得受賠償或得到其他利益者，該賠償或其他利益成為抵押權標的物的代替物，抵押權人得就該項賠償或其他利益行使權利（民法第881條第1項、第4項）， 此時該賠償或其他利益就是抵押物的代位物或代償物。例如：設定抵押的房屋因第三人縱火而燒燬，抵押物雖因此滅失，但抵押人對該第三人有侵權行為損害賠償請求權存在，該損害賠償請求權即為抵押物的代替物。,V             
公證遺囑,民法規定五種遺囑方式中的一種。原則上，要在公證人面前親自用嘴巴說出遺囑的內容，還要有兩個見證人在場，大家都要簽名才算數。遺囑的方式，法律有嚴格的規定，一定要全部符合，遺囑才有法律的效力，不可以草率，相關規定可以參考民法第1189條至第1198條。,F             
接見通信權,指犯罪嫌疑人或被告與辯護人或他人之會面談話與信件往來溝通的權利。關於接見通信權在刑事訴訟法之依據為第 34 條及第 105 條，第 34 條所規範者為「犯罪嫌疑人、被告與辯護人」，第 105 條係規範「被告與外人」之接見、通信及受授物件。,M             
茲,相當於「此」、「這裡」、「這個」。,A             
竊錄他人非公開活動及身體隱私部位罪,此為刑法第315之1條第1項第2款規定的犯罪型態之一。這是指行為人沒有正當理由(例如未經他人同意)以錄音、照相、錄影或者電磁紀錄等方式，私自紀錄他人不欲公開的活動或是身體隱私部位。,M             
民事庭,指法院內專門受理民事紛爭事件的法庭。,V             
公有公共設施,國家、地方自治團體或其他公法人所設置或管領，提供不特定民眾使用的設施。,A             
上訴人,提起上訴的人。限於因為判決而受到不利益的當事人或訴訟關係人才能提起。,V             
擬制血親,指雙方間本來沒有血緣關係，或沒有直接的血緣關係，但因法律的規定使雙方間的法律關係與血親相同。例如：養父母與養子女間因為收養而享有與生父母子女相同的身分和權利義務。,F             
保證人,為他人的債務，負保證清償責任的人。,F             
家事調查官,家事調查官是國家的公務員，受法官指示去調查家事事件中的特定事項，並作成報告給法官。當事人及關係人應配合家事調查官的調查。,F             
加重強制性交罪,以強暴、脅迫、恐嚇、催眠術或其他違反其意願之方法為性交，而有下列情形之一者：二人以上共同犯之、對未滿十四歲之男女犯之、對精神/身體障礙或其他心智缺陷之人犯之、以藥劑犯之、對被害人施以凌虐、利用駕駛供公眾或不特定人運輸之交通工具之機會犯之、侵入住宅或有人居住之建築物/船艦或隱匿其內犯之、攜帶兇器犯之。,M             
高度吸收低度,刑法上的吸收關係，指數個犯罪構成要件行為彼此性質相容，但具有高度、低度，或重行為、輕行為之關係。當高度或重行為的不法與罪責內涵足以涵蓋低度或輕行為時，只論以高度或重行為的罪名，低度或輕行為則被吸收，不另行論罪。,M             
公共危險案件,"為刑法罪章之名稱，刑法分則第十一章「公共危險罪」，包括刑法第173條放火或失火燒燬現住建築物及交通工具罪、第174條放火失火燒燬非現住建築物及交通工具罪、第175條放火燒燬住宅等以外之物罪、第176條準放火罪、第177條漏逸或間隔氣體罪、第178條決水浸害現供人使用之住宅或現有人所在之建築物及交通工具罪、第179條決水浸害現非供人使用之住宅或現未有人在之建築物罪、第180條決水浸害住宅等以外之物罪、第181條破壞防水蓄水設備罪、第182條妨害救災罪、第183條傾覆或破壞現有人所在之交通工具罪、第184條妨害舟車及航空機行駛安全罪、第185條妨害公眾往來安全罪、第185條之1劫持交通工具之罪、第185條之2危害毀損交通工具之罪、第185條之3不能安全駕駛罪、第185條之4肇事逃逸罪、第186條單純危險物罪、第186條之1不法使用爆裂物及其加重結果犯、第187條加重危險物罪、第187條之1不法使用核子原料等物之處罰、第187條之2放逸核能、放射線致生公共危險之處罰、第187條之3無正當理由使用放射線之處罰、第188條妨害公用事業罪、第189條損壞保護生命設備罪、第189條之1危害公共場所內保護生命設備之處罰、第189條之2阻塞逃生通道之處罰、第190條妨害公眾飲水罪、第190條之1流放毒物罪及結果加重犯、第191條製造販賣陳列妨害衛生物品罪、第191條之1流通食品下毒之罪及結果加重犯、第192條違背預防傳染病法令罪及散布傳染病菌罪、第193條違背建築術成規罪、第194條不履行賑災契約罪等規定。
",M             
定讞,確定的意思。,F             
輔助宣告,一個人因為精神障礙或其他心智缺陷，對於一般事務的理解能力及處理能力明顯地降低，雖然生活起居還可以自理，但是法律關係上比較複雜重要的事情，例如買賣房地、借款、保證、合夥等等，已經無法做出正確的判斷，這時候可以向法院聲請輔助宣告，由法院選任一個輔助人從旁協助他做重大或複雜的決定。,F             
對價關係,"法律關係中的當事人，基於交換利益的目的而彼此互為一定給付行為的權利、義務關係。
例如：甲乙簽訂土地買賣契約，買方甲有給付金錢的義務和取得土地所有權的權利，賣方乙則有交付土地的義務和收取價金的權利。",A             
行政刑罰,"因為違反行政秩序而科以刑事責任的處罰，其特色在於行為人的不法行為違反道德或倫理的程度較高，對社會構成的損害或危險也較大，故於立法政策上，選擇為刑事之處罰。
例如：對於逃漏稅行為，稅捐稽徵法第41條特別針對「以詐術或其他不正當方法逃漏稅捐者」，是規定處以5年以下有期徒刑、拘役或科或併科新臺幣6萬元以下罰金的刑事罰。行政刑罰是依刑事訴訟法規定程序進行。",A             
故此,因此、所以。,A             
家事事件,適用家事事件法處理的事件。包含家庭成員間關於親屬、繼承的一切紛爭，也包括家庭暴力、兒少保護安置及精神病人強制住院等等。,F             
尚非虛妄,應可採信、應屬事實,G             
假處分,"提供正在進行權利救濟的當事人可以向法院請求給予暫時性的權利保護制度（行政訴訟法第298條）。分為二類：
1、保全處分：對於在非金錢債權給付的行政訴訟中，權利因現狀變更，有不能實現或甚難實現之虞，為確保將來獲得勝訴判決後可以強制執行，可以在判決前先向行政法院聲請裁定酌定必要方法的處分。
例如：聲請行政法院暫時禁止環保機關在未施工完成之垃圾掩埋場堆放垃圾。
2、定暫時狀態處分：對有爭執的公法上法律關係，為了防止發生重大危害或避免急迫危險而有必要時，得於判決前先向行政法院聲請裁定定暫時狀態的處分。
例如：聲請行政法院暫時許可對應考資格有所爭議的考生先參加國家考試。",A             
利用權勢性交,為刑法之罪名，規定於妨害性自主罪章，刑法第228條第1項「對於因親屬、監護、教養、教育、訓練、救濟、醫療、公務、業務或其他相類關係受自己監督、扶助、照護之人，利用權勢或機會為性交者，處六月以上五年以下有期徒。」。,M             
所有權人會議,所有權人為共同事務及涉及權利義務的有關事項，召集全體所有權人所舉行的會議。,V             
小額訴訟,當事人提起民事訴訟請求給付的金錢、其他代替物（例如：黃金）或有價證券（例如：股票）的金額或價值在10萬元以下的案件；或者雖然超過50萬元，但當事人以書面合意適用小額訴訟的案件，即為小額訴訟事件。小額訴訟程序相較於簡易及通常訴訟程序具有簡便、迅速、經濟的特徵。例如：1.原告起訴時可以用表格化的訴狀，2.案件由地方法院法官獨任審理，3.當事人同意或是調查證據所需時間、費用與當事人的請求顯不相當時，可以不用調查證據，4.容許法官使用簡化、表格化的判決書，只記載主文，於必要時才記載爭執事項的理由要領，5.當事人對於判決結果不服，只能以判決違背法令為由上訴到地方法院合議庭，6.第二審原則上不能提出新的攻擊防禦方法，7.不能再對二審裁判提起上訴或抗告...等。,V             
代理告訴人,刑事訴訟法第233條第2項「被害人已死亡者，得由其配偶、直系血親、三親等內之旁系血親、、等告訴。但告訴乃論之罪，不得與被害人明示之意思相反。」即為代理告訴人之規定。其告訴期間，自知悉犯人且得為告訴之時起算，若告訴人已不得為告訴，其亦不得告訴。,M             
尚非無據,並非全無依據、並不是完全沒有依據、應可採信、應屬事實,G             
毀損罪,或稱「毀棄損壞」，為刑法罪章之名稱，刑法分則第三十五章「毀棄損壞罪」，包括刑法第352條毀損文書罪、第353條毀壞建築物、礦坑、船艦罪、第354條毀損器物罪、第355條間接毀損罪、第356條損害債權罪等規定。,M             
聚眾犯,刑罰的規定的行為是以聚眾作為要件的犯罪，也就是要成立犯罪，必須有「聚集眾人」這樣的行為作為前提。,M             
命令式計畫,"屬於行政計畫的1種，是指對相對人具有法律上拘束力，且依計畫所涉及的範圍和事項，有時會拘束公行政，有時則會同時拘束一般人民，並使其負擔一定的義務。
例如：都市計畫法規定的都市計畫、區域計畫法規定的區域計畫。",A             
尚有未洽,就是表達法院不予採信的意思。,F             
尚難謂無疑,很難說沒有疑義。,A             
可考,可以佐證、可供證明、可以證明、足以佐證、足以證明,G             
行政法令,「法律」專指經立法院三讀通過並由總統公布的規範，「行政法規」通常指行政法上的法律、以及包括行政命令在內的所有規定，是所有行政法規範的合稱。但近年來「法規」以及「法令」兩者間常可見相互代用，在使用上沒有太大的區分。,A             
訴訟權,人民之訴訟權，係憲法第16條所保障之基本權之一，其內容如：受公平迅速之審判、上訴權、倚賴律師為其辯護之權。,M             
足以引起一般同情,指犯罪具有特殊的原因或環境，而在客觀上有可以讓人心生同情的感受。,M             
