,value
total_return,0.8175252422823738
annual_return,0.10052636936331405
annual_volatility,0.032676073234972486
sharpe,3.076451954322433
max_drawdown,-0.03533676007255637
trades,5596.0
win_rate,0.8709792709077913
avg_active_pairs,10.0
