,Model,Best C,Test Accuracy,Test Macro F1,mnir_no_chi2_lowfreq_filter_applied,mnir_no_chi2_feature_limit,mnir_no_chi2_min_train_df,mnir_no_chi2_original_features,mnir_no_chi2_selected_features,mnir_no_chi2_removed_features,mnir_no_chi2_zero_train_features,mnir_no_chi2_filter_reason
0,Majority Class,,0.8762704374723818,0.3113518605746585,,,,,,,,
1,BOW + SVM,0.25,0.8448961555457357,0.4023056826271634,,,,,,,,
2,Proposed MNIR + SVM,0.0625,0.8753866548828988,0.3148169617898558,,,,,,,,
3,BOW + SVM (No Chi-square),0.25,0.8426866990720283,0.4214175827957511,,,,,,,,
4,Proposed MNIR + SVM (No Chi-square),0.0625,0.8749447635881573,0.31471334009958,True,,1.0,22144.0,21350.0,794.0,794.0,train_df_gte_1
