,K,Selected Features,Feature Variant,Best C,Validation Accuracy,Validation Macro F1
0,10000,10000,bow_chi2_k10000,0.25,0.8399646330680813,0.3995135713042935
1,5000,5000,bow_chi2_k5000,4.0,0.8160919540229885,0.38006084127729745
2,3000,3000,bow_chi2_k3000,4.0,0.8320070733863837,0.36676515511512026
3,1000,1000,bow_chi2_k1000,0.125,0.8673740053050398,0.35758566659854213
