,Model,Best C,Test Accuracy,Test Macro F1
0,Majority Class,,0.675,0.26865671641791045
1,TF + SVM,1.0,0.6625,0.335840224684038
2,Proposed MNIR + SVM,1.0,0.6666666666666666,0.34289127837514927
