Date,File,S0,Contract,ContractExpiryDate,Maturity,Rf
2021/06/09,OptionsDaily_2021_06_09.csv,16966.22,202106,2021/06/16,7,0.0084
2021/06/10,OptionsDaily_2021_06_10.csv,17159.22,202106,2021/06/16,6,0.0084
2021/06/11,OptionsDaily_2021_06_11.csv,17213.52,202106,2021/06/16,5,0.0084
2021/06/15,OptionsDaily_2021_06_15.csv,17371.29,202106,2021/06/16,1,0.0084
2021/06/16,OptionsDaily_2021_06_16.csv,17307.86,202107,2021/07/21,35,0.0084
2021/06/17,OptionsDaily_2021_06_17.csv,17390.61,202107,2021/07/21,34,0.0084
2021/06/18,OptionsDaily_2021_06_18.csv,17318.54,202107,2021/07/21,33,0.0084
2021/06/21,OptionsDaily_2021_06_21.csv,17062.98,202107,2021/07/21,30,0.0084
2021/06/22,OptionsDaily_2021_06_22.csv,17075.55,202107,2021/07/21,29,0.0084
2021/06/23,OptionsDaily_2021_06_23.csv,17336.71,202107,2021/07/21,28,0.0084
2021/06/24,OptionsDaily_2021_06_24.csv,17407.96,202107,2021/07/21,27,0.0084
2021/06/25,OptionsDaily_2021_06_25.csv,17502.99,202107,2021/07/21,26,0.0084
2021/06/28,OptionsDaily_2021_06_28.csv,17590.97,202107,2021/07/21,23,0.0084
2021/06/29,OptionsDaily_2021_06_29.csv,17598.19,202107,2021/07/21,22,0.0084
2021/06/30,OptionsDaily_2021_06_30.csv,17755.46,202107,2021/07/21,21,0.0084
2021/07/01,OptionsDaily_2021_07_01.csv,17713.94,202107,2021/07/21,20,0.0084
2021/07/02,OptionsDaily_2021_07_02.csv,17710.15,202107,2021/07/21,19,0.0084
2021/07/05,OptionsDaily_2021_07_05.csv,17919.33,202107,2021/07/21,16,0.0084
2021/07/06,OptionsDaily_2021_07_06.csv,17913.07,202107,2021/07/21,15,0.0084
2021/07/07,OptionsDaily_2021_07_07.csv,17850.69,202107,2021/07/21,14,0.0084
2021/07/08,OptionsDaily_2021_07_08.csv,17866.09,202107,2021/07/21,13,0.0084
2021/07/09,OptionsDaily_2021_07_09.csv,17661.48,202107,2021/07/21,12,0.0084
2021/07/12,OptionsDaily_2021_07_12.csv,17814.33,202107,2021/07/21,9,0.0084
2021/07/13,OptionsDaily_2021_07_13.csv,17847.52,202107,2021/07/21,8,0.0084
2021/07/14,OptionsDaily_2021_07_14.csv,17845.75,202107,2021/07/21,7,0.0084
2021/07/15,OptionsDaily_2021_07_15.csv,18034.19,202107,2021/07/21,6,0.0084
2021/07/16,OptionsDaily_2021_07_16.csv,17895.25,202107,2021/07/21,5,0.0084
2021/07/19,OptionsDaily_2021_07_19.csv,17789.25,202107,2021/07/21,2,0.0084
2021/07/20,OptionsDaily_2021_07_20.csv,17528.74,202107,2021/07/21,1,0.0084
2021/07/21,OptionsDaily_2021_07_21.csv,17458.79,202108,2021/08/18,28,0.0084
2021/07/22,OptionsDaily_2021_07_22.csv,17572.33,202108,2021/08/18,27,0.0084
2021/07/23,OptionsDaily_2021_07_23.csv,17572.92,202108,2021/08/18,26,0.0084
2021/07/26,OptionsDaily_2021_07_26.csv,17403.56,202108,2021/08/18,23,0.0084
2021/07/27,OptionsDaily_2021_07_27.csv,17269.87,202108,2021/08/18,22,0.0084
2021/07/28,OptionsDaily_2021_07_28.csv,17135.22,202108,2021/08/18,21,0.0084
2021/07/29,OptionsDaily_2021_07_29.csv,17402.81,202108,2021/08/18,20,0.0084
2021/07/30,OptionsDaily_2021_07_30.csv,17247.41,202108,2021/08/18,19,0.0084
2021/08/02,OptionsDaily_2021_08_02.csv,17503.28,202108,2021/08/18,16,0.0084
2021/08/03,OptionsDaily_2021_08_03.csv,17553.76,202108,2021/08/18,15,0.0084
2021/08/04,OptionsDaily_2021_08_04.csv,17623.89,202108,2021/08/18,14,0.0084
2021/08/05,OptionsDaily_2021_08_05.csv,17603.12,202108,2021/08/18,13,0.0084
2021/08/06,OptionsDaily_2021_08_06.csv,17526.28,202108,2021/08/18,12,0.0084
2021/08/09,OptionsDaily_2021_08_09.csv,17485.15,202108,2021/08/18,9,0.0084
2021/08/10,OptionsDaily_2021_08_10.csv,17323.64,202108,2021/08/18,8,0.0084
2021/08/11,OptionsDaily_2021_08_11.csv,17227.18,202108,2021/08/18,7,0.0084
2021/08/12,OptionsDaily_2021_08_12.csv,17219.94,202108,2021/08/18,6,0.0084
2021/08/13,OptionsDaily_2021_08_13.csv,16982.11,202108,2021/08/18,5,0.0084
2021/08/16,OptionsDaily_2021_08_16.csv,16858.77,202108,2021/08/18,2,0.0084
2021/08/17,OptionsDaily_2021_08_17.csv,16661.36,202108,2021/08/18,1,0.0084
2021/08/18,OptionsDaily_2021_08_18.csv,16826.27,202109,2021/09/15,28,0.0084
2021/08/19,OptionsDaily_2021_08_19.csv,16375.4,202109,2021/09/15,27,0.0084
2021/08/20,OptionsDaily_2021_08_20.csv,16341.94,202109,2021/09/15,26,0.0084
2021/08/23,OptionsDaily_2021_08_23.csv,16741.84,202109,2021/09/15,23,0.0084
2021/08/24,OptionsDaily_2021_08_24.csv,16818.73,202109,2021/09/15,22,0.0084
2021/08/25,OptionsDaily_2021_08_25.csv,17045.86,202109,2021/09/15,21,0.0084
2021/08/26,OptionsDaily_2021_08_26.csv,17066.96,202109,2021/09/15,20,0.0084
2021/08/27,OptionsDaily_2021_08_27.csv,17209.93,202109,2021/09/15,19,0.0084
2021/08/30,OptionsDaily_2021_08_30.csv,17396.52,202109,2021/09/15,16,0.0084
2021/08/31,OptionsDaily_2021_08_31.csv,17490.29,202109,2021/09/15,15,0.0084
2021/09/01,OptionsDaily_2021_09_01.csv,17473.99,202109,2021/09/15,14,0.0084
2021/09/02,OptionsDaily_2021_09_02.csv,17319.76,202109,2021/09/15,13,0.0084
2021/09/03,OptionsDaily_2021_09_03.csv,17516.92,202109,2021/09/15,12,0.0084
2021/09/06,OptionsDaily_2021_09_06.csv,17495.3,202109,2021/09/15,9,0.0084
2021/09/07,OptionsDaily_2021_09_07.csv,17428.87,202109,2021/09/15,8,0.0084
2021/09/08,OptionsDaily_2021_09_08.csv,17270.49,202109,2021/09/15,7,0.0084
2021/09/09,OptionsDaily_2021_09_09.csv,17304.33,202109,2021/09/15,6,0.0084
2021/09/10,OptionsDaily_2021_09_10.csv,17474.57,202109,2021/09/15,5,0.0084
2021/09/13,OptionsDaily_2021_09_13.csv,17446.31,202109,2021/09/15,2,0.0084
2021/09/14,OptionsDaily_2021_09_14.csv,17434.9,202109,2021/09/15,1,0.0084
2021/09/15,OptionsDaily_2021_09_15.csv,17354,202110,2021/10/20,35,0.0084
2021/09/16,OptionsDaily_2021_09_16.csv,17278.7,202110,2021/10/20,34,0.0084
2021/09/17,OptionsDaily_2021_09_17.csv,17276.79,202110,2021/10/20,33,0.0084
2021/09/22,OptionsDaily_2021_09_22.csv,16925.82,202110,2021/10/20,28,0.0084
2021/09/23,OptionsDaily_2021_09_23.csv,17078.22,202110,2021/10/20,27,0.0084
2021/09/24,OptionsDaily_2021_09_24.csv,17260.19,202110,2021/10/20,26,0.0084
2021/09/27,OptionsDaily_2021_09_27.csv,17313.77,202110,2021/10/20,23,0.0084
2021/09/28,OptionsDaily_2021_09_28.csv,17181.44,202110,2021/10/20,22,0.0084
2021/09/29,OptionsDaily_2021_09_29.csv,16855.46,202110,2021/10/20,21,0.0084
2021/09/30,OptionsDaily_2021_09_30.csv,16934.77,202110,2021/10/20,20,0.0084
2021/10/01,OptionsDaily_2021_10_01.csv,16570.89,202110,2021/10/20,19,0.0084
2021/10/04,OptionsDaily_2021_10_04.csv,16408.35,202110,2021/10/20,16,0.0084
2021/10/05,OptionsDaily_2021_10_05.csv,16460.75,202110,2021/10/20,15,0.0084
2021/10/06,OptionsDaily_2021_10_06.csv,16393.16,202110,2021/10/20,14,0.0084
2021/10/07,OptionsDaily_2021_10_07.csv,16713.86,202110,2021/10/20,13,0.0084
2021/10/08,OptionsDaily_2021_10_08.csv,16640.43,202110,2021/10/20,12,0.0084
2021/10/12,OptionsDaily_2021_10_12.csv,16462.84,202110,2021/10/20,8,0.0084
2021/10/13,OptionsDaily_2021_10_13.csv,16347.99,202110,2021/10/20,7,0.0084
2021/10/14,OptionsDaily_2021_10_14.csv,16387.28,202110,2021/10/20,6,0.0084
2021/10/15,OptionsDaily_2021_10_15.csv,16781.19,202110,2021/10/20,5,0.0084
2021/10/18,OptionsDaily_2021_10_18.csv,16705.46,202110,2021/10/20,2,0.0084
2021/10/19,OptionsDaily_2021_10_19.csv,16900.67,202110,2021/10/20,1,0.0084
2021/10/20,OptionsDaily_2021_10_20.csv,16887.82,202111,2021/11/17,28,0.0084
2021/10/21,OptionsDaily_2021_10_21.csv,16889.51,202111,2021/11/17,27,0.0084
2021/10/22,OptionsDaily_2021_10_22.csv,16888.74,202111,2021/11/17,26,0.0084
2021/10/25,OptionsDaily_2021_10_25.csv,16894.24,202111,2021/11/17,23,0.0084
2021/10/26,OptionsDaily_2021_10_26.csv,17034.34,202111,2021/11/17,22,0.0084
2021/10/27,OptionsDaily_2021_10_27.csv,17074.55,202111,2021/11/17,21,0.0084
2021/10/28,OptionsDaily_2021_10_28.csv,17041.63,202111,2021/11/17,20,0.0084
2021/10/29,OptionsDaily_2021_10_29.csv,16987.41,202111,2021/11/17,19,0.0084
2021/11/01,OptionsDaily_2021_11_01.csv,17068.24,202111,2021/11/17,16,0.0084
2021/11/02,OptionsDaily_2021_11_02.csv,17065.97,202111,2021/11/17,15,0.0084
2021/11/03,OptionsDaily_2021_11_03.csv,17122.16,202111,2021/11/17,14,0.0084
2021/11/04,OptionsDaily_2021_11_04.csv,17078.86,202111,2021/11/17,13,0.0084
2021/11/05,OptionsDaily_2021_11_05.csv,17296.9,202111,2021/11/17,12,0.0084
2021/11/08,OptionsDaily_2021_11_08.csv,17415.3,202111,2021/11/17,9,0.0084
2021/11/09,OptionsDaily_2021_11_09.csv,17541.36,202111,2021/11/17,8,0.0084
2021/11/10,OptionsDaily_2021_11_10.csv,17559.65,202111,2021/11/17,7,0.0084
2021/11/11,OptionsDaily_2021_11_11.csv,17452.52,202111,2021/11/17,6,0.0084
2021/11/12,OptionsDaily_2021_11_12.csv,17518.13,202111,2021/11/17,5,0.0084
2021/11/15,OptionsDaily_2021_11_15.csv,17634.47,202111,2021/11/17,2,0.0084
2021/11/16,OptionsDaily_2021_11_16.csv,17693.13,202111,2021/11/17,1,0.0084
2021/11/17,OptionsDaily_2021_11_17.csv,17764.04,202112,2021/12/15,28,0.0084
2021/11/18,OptionsDaily_2021_11_18.csv,17841.37,202112,2021/12/15,27,0.0084
2021/11/19,OptionsDaily_2021_11_19.csv,17818.31,202112,2021/12/15,26,0.0084
2021/11/22,OptionsDaily_2021_11_22.csv,17803.54,202112,2021/12/15,23,0.0084
2021/11/23,OptionsDaily_2021_11_23.csv,17666.12,202112,2021/12/15,22,0.0084
2021/11/24,OptionsDaily_2021_11_24.csv,17642.52,202112,2021/12/15,21,0.0084
2021/11/25,OptionsDaily_2021_11_25.csv,17654.19,202112,2021/12/15,20,0.0084
2021/11/26,OptionsDaily_2021_11_26.csv,17369.39,202112,2021/12/15,19,0.0084
2021/11/29,OptionsDaily_2021_11_29.csv,17328.09,202112,2021/12/15,16,0.0084
2021/11/30,OptionsDaily_2021_11_30.csv,17427.76,202112,2021/12/15,15,0.0084
2021/12/01,OptionsDaily_2021_12_01.csv,17585.99,202112,2021/12/15,14,0.0084
2021/12/02,OptionsDaily_2021_12_02.csv,17724.88,202112,2021/12/15,13,0.0084
2021/12/03,OptionsDaily_2021_12_03.csv,17697.14,202112,2021/12/15,12,0.0084
2021/12/06,OptionsDaily_2021_12_06.csv,17688.21,202112,2021/12/15,9,0.0084
2021/12/07,OptionsDaily_2021_12_07.csv,17796.92,202112,2021/12/15,8,0.0084
2021/12/08,OptionsDaily_2021_12_08.csv,17832.42,202112,2021/12/15,7,0.0084
2021/12/09,OptionsDaily_2021_12_09.csv,17914.12,202112,2021/12/15,6,0.0084
2021/12/10,OptionsDaily_2021_12_10.csv,17826.26,202112,2021/12/15,5,0.0084
2021/12/13,OptionsDaily_2021_12_13.csv,17767.6,202112,2021/12/15,2,0.0084
2021/12/14,OptionsDaily_2021_12_14.csv,17599.37,202112,2021/12/15,1,0.0084
2021/12/15,OptionsDaily_2021_12_15.csv,17660.1,202201,2022/01/19,35,0.0084
2021/12/16,OptionsDaily_2021_12_16.csv,17785.74,202201,2022/01/19,34,0.0084
2021/12/17,OptionsDaily_2021_12_17.csv,17812.59,202201,2022/01/19,33,0.0084
2021/12/20,OptionsDaily_2021_12_20.csv,17669.11,202201,2022/01/19,30,0.0084
2021/12/21,OptionsDaily_2021_12_21.csv,17789.27,202201,2022/01/19,29,0.0084
2021/12/22,OptionsDaily_2021_12_22.csv,17826.83,202201,2022/01/19,28,0.0084
2021/12/23,OptionsDaily_2021_12_23.csv,17946.66,202201,2022/01/19,27,0.0084
2021/12/24,OptionsDaily_2021_12_24.csv,17961.64,202201,2022/01/19,26,0.0084
2021/12/27,OptionsDaily_2021_12_27.csv,18048.94,202201,2022/01/19,23,0.0084
2021/12/28,OptionsDaily_2021_12_28.csv,18196.81,202201,2022/01/19,22,0.0084
2021/12/29,OptionsDaily_2021_12_29.csv,18248.28,202201,2022/01/19,21,0.0084
2021/12/30,OptionsDaily_2021_12_30.csv,18218.84,202201,2022/01/19,20,0.0084
