,Model,Best C,Test Accuracy,Test Macro F1
0,Majority Class,,0.580110497237569,0.2447552447552447
1,BOW + SVM,0.0625,0.8535911602209945,0.6541390103070531
2,Proposed MNIR + SVM,0.0625,0.8149171270718232,0.542013683957418
3,BOW + SVM (No Chi-square),0.0625,0.8756906077348067,0.6806696533980969
4,Proposed MNIR + SVM (No Chi-square),0.0625,0.8176795580110497,0.5441303677507906
