code,name_raw,name,market,industry,isin,listed_date,cfi,yfinance_symbol,security_type_guess,parse_quality,source_section,source_line,source_col_pair
2331,精英,精英,上市,電腦及週邊設備,,,,2331.TW,股票,wide_explicit_header,wide_table,29,5
2332,友訊,友訊,上市,通信網路,,,,2332.TW,股票,wide_explicit_header,wide_table,74,6
2337,旺宏,旺宏,上市,半導體,,,,2337.TW,股票,wide_explicit_header,wide_table,47,4
2338,光罩,光罩,上市,半導體,,,,2338.TW,股票,wide_explicit_header,wide_table,48,4
2340,光磊,光磊,上市,光電,,,,2340.TW,股票,wide_explicit_header,wide_table,5,6
2342,茂矽,茂矽,上市,半導體,,,,2342.TW,股票,wide_explicit_header,wide_table,49,4
2344,華邦電#,華邦電,上市,半導體,,,,2344.TW,股票,wide_explicit_header,wide_table,50,4
2345,智邦#,智邦,上市,通信網路,,,,2345.TW,股票,wide_explicit_header,wide_table,75,6
2347,聯強#,聯強,上市,電子通路,,,,2347.TW,股票,wide_explicit_header,wide_table,41,8
2348,海悅,海悅,上市,其他,,,,2348.TW,股票,wide_explicit_header,wide_table,43,11
2349,錸德,錸德,上市,光電,,,,2349.TW,股票,wide_explicit_header,wide_table,6,6
2351,順德,順德,上市,半導體,,,,2351.TW,股票,wide_explicit_header,wide_table,51,4
2352,佳世達#,佳世達,上市,電腦及週邊設備,,,,2352.TW,股票,wide_explicit_header,wide_table,30,5
2353,宏碁#,宏碁,上市,電腦及週邊設備,,,,2353.TW,股票,wide_explicit_header,wide_table,31,5
2354,鴻準*,鴻準,上市,其他電子,,,,2354.TW,股票,wide_explicit_header,wide_table,78,8
2355,敬鵬#,敬鵬,上市,電子零組件,,,,2355.TW,股票,wide_explicit_header,wide_table,38,7
2356,英業達#,英業達,上市,電腦及週邊設備,,,,2356.TW,股票,wide_explicit_header,wide_table,32,5
2357,華碩*,華碩,上市,電腦及週邊設備,,,,2357.TW,股票,wide_explicit_header,wide_table,33,5
2358,廷鑫,廷鑫,上市,電腦及週邊設備,,,,2358.TW,股票,wide_explicit_header,wide_table,34,5
2359,所羅門,所羅門,上市,其他電子,,,,2359.TW,股票,wide_explicit_header,wide_table,79,8
2360,致茂#,致茂,上市,其他電子,,,,2360.TW,股票,wide_explicit_header,wide_table,80,8
2362,藍天#,藍天,上市,電腦及週邊設備,,,,2362.TW,股票,wide_explicit_header,wide_table,35,5
2363,矽統,矽統,上市,半導體,,,,2363.TW,股票,wide_explicit_header,wide_table,52,4
2364,倫飛,倫飛,上市,電腦及週邊設備,,,,2364.TW,股票,wide_explicit_header,wide_table,36,5
2365,昆盈,昆盈,上市,電腦及週邊設備,,,,2365.TW,股票,wide_explicit_header,wide_table,37,5
2367,燿華,燿華,上市,電子零組件,,,,2367.TW,股票,wide_explicit_header,wide_table,39,7
2368,金像電,金像電,上市,電子零組件,,,,2368.TW,股票,wide_explicit_header,wide_table,40,7
2369,菱生,菱生,上市,半導體,,,,2369.TW,股票,wide_explicit_header,wide_table,53,4
2371,大同,大同,上市,電機機械,,,,2371.TW,股票,wide_explicit_header,wide_table,60,2
2373,震旦行,震旦行,上市,其他電子,,,,2373.TW,股票,wide_explicit_header,wide_table,81,8
2374,佳能,佳能,上市,光電,,,,2374.TW,股票,wide_explicit_header,wide_table,7,6
2375,智寶,智寶,上市,電子零組件,,,,2375.TW,股票,wide_explicit_header,wide_table,41,7
2376,技嘉#,技嘉,上市,電腦及週邊設備,,,,2376.TW,股票,wide_explicit_header,wide_table,38,5
2377,微星#,微星,上市,電腦及週邊設備,,,,2377.TW,股票,wide_explicit_header,wide_table,39,5
2379,瑞昱#,瑞昱,上市,半導體,,,,2379.TW,股票,wide_explicit_header,wide_table,54,4
2380,虹光,虹光,上市,電腦及週邊設備,,,,2380.TW,股票,wide_explicit_header,wide_table,40,5
2382,廣達*,廣達,上市,電腦及週邊設備,,,,2382.TW,股票,wide_explicit_header,wide_table,41,5
2383,台光電#,台光電,上市,電子零組件,,,,2383.TW,股票,wide_explicit_header,wide_table,42,7
2385,群光#,群光,上市,電子零組件,,,,2385.TW,股票,wide_explicit_header,wide_table,43,7
2387,精元,精元,上市,電腦及週邊設備,,,,2387.TW,股票,wide_explicit_header,wide_table,42,5
2388,威盛,威盛,上市,半導體,,,,2388.TW,股票,wide_explicit_header,wide_table,55,4
2390,云辰,云辰,上市,其他電子,,,,2390.TW,股票,wide_inherited_header,wide_table,1,9
2392,正崴#,正崴,上市,電子零組件,,,,2392.TW,股票,wide_explicit_header,wide_table,44,7
2393,億光,億光,上市,光電,,,,2393.TW,股票,wide_explicit_header,wide_table,8,6
2395,研華*,研華,上市,電腦及週邊設備,,,,2395.TW,股票,wide_explicit_header,wide_table,43,5
2397,友通,友通,上市,電腦及週邊設備,,,,2397.TW,股票,wide_explicit_header,wide_table,44,5
2399,映泰,映泰,上市,電腦及週邊設備,,,,2399.TW,股票,wide_explicit_header,wide_table,45,5
2401,凌陽,凌陽,上市,半導體,,,,2401.TW,股票,wide_explicit_header,wide_table,56,4
2402,毅嘉,毅嘉,上市,電子零組件,,,,2402.TW,股票,wide_explicit_header,wide_table,45,7
2404,漢唐,漢唐,上市,其他電子,,,,2404.TW,股票,wide_inherited_header,wide_table,2,9
2405,浩鑫,浩鑫,上市,電腦及週邊設備,,,,2405.TW,股票,wide_explicit_header,wide_table,46,5
2406,國碩,國碩,上市,光電,,,,2406.TW,股票,wide_explicit_header,wide_table,9,6
2408,南亞科*,南亞科,上市,半導體,,,,2408.TW,股票,wide_explicit_header,wide_table,57,4
2409,友達*,友達,上市,光電,,,,2409.TW,股票,wide_explicit_header,wide_table,10,6
2412,中華電*,中華電,上市,通信網路,,,,2412.TW,股票,wide_explicit_header,wide_table,76,6
2413,環科,環科,上市,電子零組件,,,,2413.TW,股票,wide_explicit_header,wide_table,46,7
2414,精技,精技,上市,電子通路,,,,2414.TW,股票,wide_explicit_header,wide_table,42,8
