,K,Selected Features,Feature Variant,Best C,Validation Accuracy,Validation Macro F1
0,5000,5000,bow_chi2_k5000,0.0625,0.666077738515901,0.4672130220112043
1,10000,10000,bow_chi2_k10000,1.0,0.6360424028268551,0.4542668533653236
2,3000,3000,bow_chi2_k3000,0.125,0.6501766784452296,0.44146889184374666
3,1000,1000,bow_chi2_k1000,0.25,0.6484098939929329,0.4082605382869308
