,Model,Best C,Test Accuracy,Test Macro F1,mnir_no_chi2_lowfreq_filter_applied,mnir_no_chi2_feature_limit,mnir_no_chi2_min_train_df,mnir_no_chi2_original_features,mnir_no_chi2_selected_features,mnir_no_chi2_removed_features,mnir_no_chi2_zero_train_features,mnir_no_chi2_filter_reason
0,Majority Class,,0.676081200353045,0.2689134632262594,,,,,,,,
1,BOW + SVM,0.0625,0.6345984112974404,0.42103051657452967,,,,,,,,
2,BOW + SVM (No Chi-square),4.0,0.588702559576346,0.4177329230690702,,,,,,,,
3,Proposed MNIR + SVM (No Chi-square),0.125,0.6293027360988526,0.385980760366464,True,,1.0,24425.0,23461.0,964.0,964.0,train_df_gte_1
4,Proposed MNIR + SVM,0.0625,0.6478375992939099,0.4025028729559826,,,,,,,,
