,K,Selected Features,Feature Variant,Best C,Validation Accuracy,Validation Macro F1
0,10000,10000,tf_chi2_k10000,2.0,0.7190812720848057,0.505371394944384
1,5000,5000,tf_chi2_k5000,4.0,0.7031802120141343,0.4972175636460257
2,3000,3000,tf_chi2_k3000,4.0,0.6996466431095406,0.48795852465577233
3,1000,1000,tf_chi2_k1000,4.0,0.6925795053003534,0.45737074912791953
