,Model,Best C,Test Accuracy,Test Macro F1
0,Majority Class,,0.676081200353045,0.2689134632262594
1,TF + SVM,4.0,0.6822594880847308,0.4133860734964376
2,Proposed MNIR + SVM,4.0,0.6928508384819064,0.33697429214548036
