,K,Selected Features,Feature Variant,Best C,Validation Accuracy,Validation Macro F1
0,3000,3000,tf_chi2_k3000,4.0,0.6925795053003534,0.34118842303498864
1,5000,5000,tf_chi2_k5000,4.0,0.6908127208480566,0.3252315872373568
2,1000,1000,tf_chi2_k1000,1.0,0.6855123674911661,0.3230152126138813
3,10000,10000,tf_chi2_k10000,0.5,0.6872791519434629,0.3136437029063509
