,Model,Best C,Test Accuracy,Test Macro F1,mnir_no_chi2_lowfreq_filter_applied,mnir_no_chi2_feature_limit,mnir_no_chi2_min_train_df,mnir_no_chi2_original_features,mnir_no_chi2_selected_features,mnir_no_chi2_removed_features,mnir_no_chi2_zero_train_features,mnir_no_chi2_filter_reason
0,Majority Class,,0.9343791850009566,0.3220255167639205,,,,,,,,
1,TFIDF + SVM,4.0,0.949301702697532,0.6069282789174101,,,,,,,,
2,TFIDF + SVM (No Chi-square),0.125,0.9540845609336139,0.6214374446516321,,,,,,,,
3,Proposed MNIR + SVM (No Chi-square),0.125,0.9236655825521332,0.43273276480046546,True,,1.0,38159.0,36837.0,1322.0,1322.0,train_df_gte_1
4,Proposed MNIR + SVM,0.0625,0.918691409986608,0.4659272962594499,,,,,,,,
