,Model,Best C,Test Accuracy,Test Macro F1
0,Majority Class,,0.5791666666666667,0.24450307827616535
1,TFIDF + SVM,1.0,0.8958333333333334,0.599414333928926
2,Proposed MNIR + SVM,0.25,0.8541666666666666,0.5696568415376609
