,Model,Best C,Test Accuracy,Test Macro F1
0,Majority Class,,0.8791666666666667,0.31189948263118994
1,BOW + SVM,0.25,0.8708333333333333,0.4342311269389491
2,Proposed MNIR + SVM,0.25,0.875,0.3111111111111111
