Date,ID,E,Maturity_contract,Call_Put,Time,Pr,Num
20211229,TXO,15500.0,202202,P,84500.0,21.5,10.0
20211229,TXO,15500.0,202202,P,84500.0,21.5,10.0
20211229,TXO,16000.0,202201,P,84500.0,6.0,1.0
20211229,TXO,16000.0,202201,P,84500.0,6.0,1.0
20211229,TXO,17200.0,202112W5,P,84500.0,0.2,2.0
20211229,TXO,17200.0,202112W5,P,84500.0,0.2,2.0
20211229,TXO,17400.0,202201,P,84500.0,46.0,1.0
20211229,TXO,17400.0,202201,P,84500.0,46.0,1.0
20211229,TXO,17450.0,202112W5,P,84500.0,0.2,4.0
20211229,TXO,17450.0,202112W5,P,84500.0,0.2,4.0
20211229,TXO,17500.0,202201,P,84500.0,56.0,1.0
20211229,TXO,17500.0,202201,P,84500.0,56.0,1.0
20211229,TXO,17600.0,202112W5,P,84500.0,0.7,5.0
20211229,TXO,17600.0,202112W5,P,84500.0,0.7,5.0
20211229,TXO,17600.0,202201,P,84500.0,68.0,1.0
20211229,TXO,17600.0,202201,P,84500.0,68.0,1.0
20211229,TXO,17650.0,202112W5,P,84500.0,0.8,5.0
20211229,TXO,17650.0,202112W5,P,84500.0,0.8,5.0
20211229,TXO,17750.0,202201W1,P,84500.0,12.5,1.0
20211229,TXO,17750.0,202201W1,P,84500.0,12.5,1.0
20211229,TXO,17800.0,202201W1,P,84500.0,18.0,1.0
20211229,TXO,17800.0,202201W1,P,84500.0,18.0,1.0
20211229,TXO,17850.0,202112W5,P,84500.0,0.8,6.0
20211229,TXO,17850.0,202112W5,P,84500.0,0.8,6.0
20211229,TXO,17900.0,202112W5,P,84500.0,0.9,4.0
20211229,TXO,17900.0,202112W5,P,84500.0,0.9,4.0
20211228,TXO,18000.0,202112W5,C,150000.0,220.0,3.0
20211228,TXO,18000.0,202112W5,C,150000.0,220.0,3.0
20211228,TXO,18000.0,202112W5,P,150000.0,3.5,1.0
20211228,TXO,18000.0,202112W5,P,150000.0,3.5,1.0
20211229,TXO,18000.0,202112W5,P,84500.0,2.4,12.0
20211229,TXO,18000.0,202112W5,P,84500.0,2.4,12.0
20211228,TXO,18000.0,202201,C,150000.0,353.0,1.0
20211228,TXO,18000.0,202201,C,150000.0,353.0,1.0
20211229,TXO,18050.0,202112W5,P,84500.0,2.7,23.0
20211229,TXO,18050.0,202112W5,P,84500.0,2.7,23.0
20211229,TXO,18100.0,202112W5,C,84500.0,120.0,1.0
20211229,TXO,18100.0,202112W5,C,84500.0,120.0,1.0
20211228,TXO,18100.0,202112W5,P,150000.0,8.4,3.0
20211228,TXO,18100.0,202112W5,P,150000.0,8.4,3.0
20211229,TXO,18100.0,202112W5,P,84500.0,5.2,5.0
20211229,TXO,18100.0,202112W5,P,84500.0,5.2,5.0
20211229,TXO,18150.0,202112W5,C,84500.0,76.0,2.0
20211229,TXO,18150.0,202112W5,C,84500.0,76.0,2.0
20211228,TXO,18150.0,202112W5,P,150000.0,13.5,7.0
20211228,TXO,18150.0,202112W5,P,150000.0,13.5,7.0
20211229,TXO,18150.0,202112W5,P,84500.0,12.0,199.0
20211229,TXO,18150.0,202112W5,P,84500.0,12.0,199.0
20211228,TXO,18200.0,202112W5,C,150000.0,46.5,6.0
20211228,TXO,18200.0,202112W5,C,150000.0,46.5,6.0
20211229,TXO,18200.0,202112W5,C,84500.0,33.5,11.0
20211229,TXO,18200.0,202112W5,C,84500.0,33.5,11.0
20211228,TXO,18200.0,202112W5,P,150000.0,29.5,2.0
20211228,TXO,18200.0,202112W5,P,150000.0,29.5,2.0
20211229,TXO,18200.0,202112W5,P,84500.0,21.0,21.0
20211229,TXO,18200.0,202112W5,P,84500.0,21.0,21.0
20211229,TXO,18200.0,202201,P,84500.0,228.0,20.0
20211229,TXO,18200.0,202201,P,84500.0,228.0,20.0
20211229,TXO,18200.0,202201W1,P,84500.0,116.0,1.0
20211229,TXO,18200.0,202201W1,P,84500.0,116.0,1.0
20211229,TXO,18250.0,202112W5,C,84500.0,11.5,23.0
20211229,TXO,18250.0,202112W5,C,84500.0,11.5,23.0
20211228,TXO,18250.0,202112W5,P,150000.0,54.0,2.0
20211228,TXO,18250.0,202112W5,P,150000.0,54.0,2.0
20211229,TXO,18250.0,202112W5,P,84500.0,47.0,7.0
20211229,TXO,18250.0,202112W5,P,84500.0,47.0,7.0
20211229,TXO,18300.0,202112W5,C,84500.0,4.4,3.0
20211229,TXO,18300.0,202112W5,C,84500.0,4.4,3.0
20211229,TXO,18300.0,202112W5,P,84500.0,92.0,4.0
20211229,TXO,18300.0,202112W5,P,84500.0,92.0,4.0
20211228,TXO,18350.0,202112W5,C,150000.0,4.0,3.0
20211228,TXO,18350.0,202112W5,C,150000.0,4.0,3.0
20211229,TXO,18350.0,202112W5,C,84500.0,2.0,5.0
20211229,TXO,18350.0,202112W5,C,84500.0,2.0,5.0
20211229,TXO,18400.0,202112W5,C,84500.0,1.0,18.0
20211229,TXO,18400.0,202112W5,C,84500.0,1.0,18.0
20211228,TXO,18400.0,202201,C,150000.0,131.0,1.0
20211228,TXO,18400.0,202201,C,150000.0,131.0,1.0
20211229,TXO,18400.0,202201,C,84500.0,127.0,1.0
20211229,TXO,18400.0,202201,C,84500.0,127.0,1.0
20211229,TXO,18400.0,202201W1,C,84500.0,40.0,1.0
20211229,TXO,18400.0,202201W1,C,84500.0,40.0,1.0
20211229,TXO,18450.0,202201W1,C,84500.0,25.0,2.0
20211229,TXO,18450.0,202201W1,C,84500.0,25.0,2.0
20211229,TXO,18500.0,202112W5,C,84500.0,0.5,10.0
20211229,TXO,18500.0,202112W5,C,84500.0,0.5,10.0
20211229,TXO,18500.0,202201W1,C,84500.0,20.5,1.0
20211229,TXO,18500.0,202201W1,C,84500.0,20.5,1.0
20211229,TXO,18600.0,202201W1,C,84500.0,10.5,1.0
20211229,TXO,18600.0,202201W1,C,84500.0,10.5,1.0
20211229,TXO,18700.0,202201,C,84500.0,49.5,1.0
20211229,TXO,18700.0,202201,C,84500.0,49.5,1.0
20211229,TXO,18800.0,202201,C,84500.0,34.5,9.0
20211229,TXO,18800.0,202201,C,84500.0,34.5,9.0
20211229,TXO,18800.0,202201W1,C,84500.0,4.0,4.0
20211229,TXO,18800.0,202201W1,C,84500.0,4.0,4.0
20211229,TXO,20000.0,202203,C,84500.0,25.5,2.0
20211229,TXO,20000.0,202203,C,84500.0,25.5,2.0
20211229,TXO,20800.0,202201,C,84500.0,0.7,2.0
20211229,TXO,20800.0,202201,C,84500.0,0.7,2.0
20211229,TXO,21800.0,202209,C,84500.0,33.0,1.0
20211229,TXO,21800.0,202209,C,84500.0,33.0,1.0
20211229,TXO,22000.0,202209,C,84500.0,24.5,3.0
20211229,TXO,22000.0,202209,C,84500.0,24.5,3.0
