Date,ID,E,Maturity_contract,Call_Put,Time,Pr,Num
20211201,TXO,14800.0,202112,P,84500.0,6.8,8.0
20211201,TXO,14800.0,202112,P,84500.0,6.8,8.0
20211130,TXO,16000.0,202112,P,150000.0,30.0,3.0
20211130,TXO,16000.0,202112,P,150000.0,30.0,3.0
20211201,TXO,16000.0,202112,P,84500.0,31.0,31.0
20211201,TXO,16000.0,202112,P,84500.0,31.0,31.0
20211201,TXO,16200.0,202112,P,84500.0,41.0,4.0
20211201,TXO,16200.0,202112,P,84500.0,41.0,4.0
20211201,TXO,16300.0,202112,P,84500.0,45.0,1.0
20211201,TXO,16300.0,202112,P,84500.0,45.0,1.0
20211130,TXO,16300.0,202112W1,P,150000.0,1.9,1.0
20211130,TXO,16300.0,202112W1,P,150000.0,1.9,1.0
20211201,TXO,16500.0,202112W1,P,84500.0,1.3,1.0
20211201,TXO,16500.0,202112W1,P,84500.0,1.3,1.0
20211201,TXO,16600.0,202112W2,P,84500.0,20.0,2.0
20211201,TXO,16600.0,202112W2,P,84500.0,20.0,2.0
20211201,TXO,16700.0,202112,P,84500.0,87.0,4.0
20211201,TXO,16700.0,202112,P,84500.0,87.0,4.0
20211201,TXO,16700.0,202112W2,P,84500.0,32.5,6.0
20211201,TXO,16700.0,202112W2,P,84500.0,32.5,6.0
20211130,TXO,16800.0,202112,P,150000.0,108.0,3.0
20211130,TXO,16800.0,202112,P,150000.0,108.0,3.0
20211201,TXO,16800.0,202112,P,84500.0,102.0,5.0
20211201,TXO,16800.0,202112,P,84500.0,102.0,5.0
20211130,TXO,16800.0,202112W1,P,150000.0,4.9,1.0
20211130,TXO,16800.0,202112W1,P,150000.0,4.9,1.0
20211201,TXO,16800.0,202112W2,P,84500.0,43.0,2.0
20211201,TXO,16800.0,202112W2,P,84500.0,43.0,2.0
20211130,TXO,16850.0,202112W1,P,150000.0,8.0,1.0
20211130,TXO,16850.0,202112W1,P,150000.0,8.0,1.0
20211201,TXO,16900.0,202112,P,84500.0,120.0,2.0
20211201,TXO,16900.0,202112,P,84500.0,120.0,2.0
20211201,TXO,16900.0,202112W1,P,84500.0,1.2,8.0
20211201,TXO,16900.0,202112W1,P,84500.0,1.2,8.0
20211201,TXO,17000.0,202112,C,84500.0,472.0,1.0
20211201,TXO,17000.0,202112,C,84500.0,472.0,1.0
20211130,TXO,17000.0,202112,P,150000.0,160.0,3.0
20211130,TXO,17000.0,202112,P,150000.0,160.0,3.0
20211130,TXO,17000.0,202112W1,P,150000.0,12.0,6.0
20211130,TXO,17000.0,202112W1,P,150000.0,12.0,6.0
20211201,TXO,17000.0,202112W1,P,84500.0,4.0,9.0
20211201,TXO,17000.0,202112W1,P,84500.0,4.0,9.0
20211201,TXO,17000.0,202112W2,P,84500.0,71.0,1.0
20211201,TXO,17000.0,202112W2,P,84500.0,71.0,1.0
20211130,TXO,17050.0,202112W1,P,150000.0,19.0,1.0
20211130,TXO,17050.0,202112W1,P,150000.0,19.0,1.0
20211201,TXO,17050.0,202112W1,P,84500.0,4.1,5.0
20211201,TXO,17050.0,202112W1,P,84500.0,4.1,5.0
20211201,TXO,17100.0,202112,C,84500.0,396.0,1.0
20211201,TXO,17100.0,202112,C,84500.0,396.0,1.0
20211201,TXO,17100.0,202112,P,84500.0,156.0,4.0
20211201,TXO,17100.0,202112,P,84500.0,156.0,4.0
